date,GDP,Population,Air_Temp,Rainfall,TEC,CEI,COVID_Deaths,CO2e_lag1,CO2e_lag2,CO2e_lag3,CO2e_lag4,GDP_dlog,TEC_dlog,CO2e_dlog,CO2e_per_Population,CO2e_per_TEC,HDD_proxy,CDD_proxy,Q2,Q3,Q4,COVID,EnergyCrisis
2000-01-01,8162,58836,4.29,429.1,67985.22999999998,0.296,0.0,165818.6,141421.3,147141.8,169936.0,0.012451618682149501,0.05967235005125282,0.15915104115239487,2.9148701475287235,2.5225964521999855,13.71,0.0,0,0,0,0,0
2000-04-01,8214,58886,8.03,269.3,53350.91,0.304,0.0,171499.3,165818.6,141421.3,147141.8,0.006350778550753944,-0.24239944092921384,0.03368476520246233,2.5777162653262233,2.845151094892289,9.97,0.0,1,0,0,0,0
2000-07-01,8256,58943,14.15,203.5,48803.98,0.302,0.0,151791.4,171499.3,165818.6,141421.3,0.005100193204839343,-0.08907916786139758,-0.12207197509978762,2.415854299916869,2.9177476918890632,3.8499999999999996,0.0,0,1,0,0,0
2000-10-01,8297,59000,9.52,509.7,64666.539999999986,0.304,0.0,142397.7,151791.4,171499.3,165818.6,0.004953794942942125,0.28143204471988525,-0.06388336270318185,2.875979661016949,2.623965964469415,8.48,0.0,0,0,1,0,0
2001-01-01,8358,59056,3.51,332.9,69373.31000000001,0.308,0.0,169682.8,142397.7,151791.4,171499.3,0.007325160343574666,0.07025829977910725,0.17530696460839934,3.124881468436738,2.660144081347711,14.49,0.0,0,0,0,0,0
2001-04-01,8384,59113,7.34,218.5,54121.85999999999,0.308,0.0,184543.0,169682.8,142397.7,151791.4,0.003105963552963331,-0.24826404062654817,0.08395168688595689,2.648444504592898,2.8926851368375,10.66,0.0,1,0,0,0,0
2001-07-01,8415,59176,14.34,236.6,50220.28999999999,0.297,0.0,156557.5,184543.0,169682.8,142397.7,0.0036907000640820087,-0.07481904247840987,-0.16445914401492878,2.4143554819521427,2.844903922299135,3.66,0.0,0,1,0,0,0
2001-10-01,8428,59239,10.4,349.1,63139.31,0.288,0.0,142871.9,156557.5,184543.0,169682.8,0.0015436682991740724,0.22892442666927693,-0.09147493004972418,2.7872280085754317,2.6150523342747967,7.6,0.0,0,0,1,0,0
2002-01-01,8445,59303,4.49,379.3,66661.29000000001,0.287,0.0,165112.6,142871.9,156557.5,184543.0,0.002015054317821452,0.05428086965370227,0.1446792408057167,2.951860782759726,2.6260247888992247,13.51,0.0,0,0,0,0,0
2002-04-01,8480,59366,8.45,245.2,52166.2,0.281,0.0,175054.2,165112.6,142871.9,156557.5,0.004135899544047916,-0.24518964904235752,0.05846797486019639,2.4539568102954554,2.7926435124659266,9.55,0.0,1,0,0,0,0
2002-07-01,8520,59433,14.39,259.1,48198.280000000006,0.285,0.0,145681.6,175054.2,165112.6,142871.9,0.0047058910374122576,-0.07911143981264424,-0.1836722219222331,2.372708764491108,2.9257724549506743,3.6099999999999994,0.0,0,1,0,0,0
