date,CO2e,GDP,Population,Air_Temp,Rainfall,TEC,CEI,COVID_Deaths
1999-01-01,169936.0,7795,58632,4.54,370.5,67315.24,0.303,0.0
1999-04-01,147141.8,7817,58684,8.65,253.2,52611.14999999999,0.311,0.0
1999-07-01,141421.3,7941,58735,14.39,231.8,47354.810000000005,0.312,0.0
1999-10-01,165818.6,8061,58785,10.27,343.2,64047.06,0.305,0.0
2000-01-01,171499.3,8162,58836,4.29,429.1,67985.22999999998,0.296,0.0
2000-04-01,151791.4,8214,58886,8.03,269.3,53350.91,0.304,0.0
2000-07-01,142397.7,8256,58943,14.15,203.5,48803.98,0.302,0.0
2000-10-01,169682.8,8297,59000,9.52,509.7,64666.539999999986,0.304,0.0
2001-01-01,184543.0,8358,59056,3.51,332.9,69373.31000000001,0.308,0.0
2001-04-01,156557.5,8384,59113,7.34,218.5,54121.85999999999,0.308,0.0
2001-07-01,142871.9,8415,59176,14.34,236.6,50220.28999999999,0.297,0.0
2001-10-01,165112.6,8428,59239,10.4,349.1,63139.31,0.288,0.0
2002-01-01,175054.2,8445,59303,4.49,379.3,66661.29000000001,0.287,0.0
2002-04-01,145681.6,8480,59366,8.45,245.2,52166.2,0.281,0.0
2002-07-01,141017.2,8520,59433,14.39,259.1,48198.280000000006,0.285,0.0
2002-10-01,167054.4,8567,59501,9.76,357.5,62578.81,0.283,0.0
2003-01-01,175719.8,8629,59569,3.96,271.4,67308.53000000001,0.28,0.0
2003-04-01,150813.8,8699,59637,8.74,202.2,52783.869999999995,0.284,0.0
2003-07-01,142248.9,8779,59715,15.74,176.1,47679.189999999995,0.282,0.0
2003-10-01,172234.6,8836,59794,9.5,238.2,64095.18,0.282,0.0
2004-01-01,182052.0,8852,59872,4.32,346.4,69531.87000000001,0.28,0.0
2004-04-01,148829.8,8883,59950,8.39,213.9,51833.79,0.274,0.0
2004-07-01,143414.7,8898,60066,14.83,314.7,47652.049999999996,0.279,0.0
2004-10-01,171521.4,8921,60182,9.92,343.7,64615.45,0.276,0.0
2005-01-01,181080.7,8973,60298,4.68,307.2,69200.14000000001,0.274,0.0
2005-04-01,152629.0,9030,60413,8.08,236.3,54455.85,0.276,0.0
2005-07-01,140875.7,9097,60517,14.74,216.7,48390.12000000001,0.268,0.0
2005-10-01,172412.3,9177,60620,10.34,349.5,64243.600000000006,0.268,0.0
2006-01-01,185503.5,9194,60724,3.81,204.9,70923.94,0.268,0.0
2006-04-01,145792.9,9203,60827,7.33,290.2,52777.52999999999,0.258,0.0
2006-07-01,139922.1,9199,60950,15.75,187.1,47803.62,0.26,0.0
2006-10-01,165518.1,9213,61073,11.35,397.6,61568.10999999999,0.256,0.0
2007-01-01,176189.5,9295,61196,5.54,434.8,65054.33000000001,0.253,0.0
2007-04-01,145323.9,9364,61319,9.02,227.8,51120.46000000001,0.252,0.0
2007-07-01,140012.7,9433,61445,14.1,356.6,48772.42,0.252,0.0
2007-10-01,169658.7,9493,61571,9.9,231.8,62544.96000000001,0.254,0.0
2008-01-01,174137.6,9509,61698,4.84,385.1,65877.76000000001,0.243,0.0
2008-04-01,147371.3,9439,61824,8.1,246.6,51947.87999999999,0.25,0.0
2008-07-01,135681.5,9267,61933,14.45,321.8,47116.24999999999,0.247,0.0
2008-10-01,159546.4,9055,62042,9.08,365.9,60712.26,0.242,0.0
2009-01-01,162316.3,8857,62151,3.18,266.6,63214.39,0.24,0.0
2009-04-01,128932.8,8815,62261,8.59,220.6,47327.21,0.228,0.0
2009-07-01,122891.4,8809,62385,14.71,321.9,43638.89,0.225,0.0
2009-10-01,149284.7,8821,62510,10.28,386.0,57639.95000000001,0.227,0.0
2010-01-01,160944.3,8877,62635,1.62,254.6,65051.04999999999,0.231,0.0
2010-04-01,134037.1,8960,62760,7.57,165.1,48164.51,0.231,0.0
2010-07-01,129158.7,8994,62891,14.62,242.9,44098.509999999995,0.23,0.0
2010-10-01,161417.3,8980,63022,8.83,336.5,62708.24,0.237,0.0
2011-01-01,154582.2,8976,63154,2.41,263.1,60884.72,0.223,0.0
2011-04-01,125167.6,8953,63285,9.12,185.9,45626.89,0.217,0.0
2011-07-01,122388.7,8954,63391,13.63,265.8,42948.159999999996,0.218,0.0
2011-10-01,145719.1,8946,63498,11.22,328.4,54762.200000000004,0.218,0.0
2012-01-01,153694.5,9015,63604,4.55,336.2,59269.44,0.219,0.0
2012-04-01,133698.0,8995,63711,8.18,230.5,48270.380000000005,0.226,0.0
2012-07-01,124955.0,9074,63817,13.9,378.8,43573.29,0.217,0.0
2012-10-01,151121.4,9045,63924,8.6,372.5,57502.57,0.217,0.0
2013-01-01,157001.7,9054,64031,3.31,347.7,61700.77999999999,0.217,0.0
2013-04-01,131835.3,9099,64138,5.98,219.2,48216.31999999999,0.215,0.0
2013-07-01,123523.4,9152,64258,15.15,185.8,42745.89,0.209,0.0
2013-10-01,144237.5,9195,64378,9.8,324.1,54785.80000000001,0.205,0.0
2014-01-01,144870.8,9251,64499,5.19,539.9,55880.83,0.198,0.0
2014-04-01,122695.9,9321,64619,9.02,246.6,44417.7,0.197,0.0
2014-07-01,118454.2,9380,64736,14.8,256.7,41295.19,0.195,0.0
2014-10-01,138185.3,9425,64853,10.84,303.0,52777.05,0.189,0.0
2015-01-01,146901.6,9436,64970,3.89,364.9,58314.700000000004,0.194,0.0
2015-04-01,119350.5,9462,65087,7.66,250.1,44827.62999999999,0.184,0.0
2015-07-01,115882.1,9480,65217,13.91,268.4,41028.61000000001,0.183,0.0
2015-10-01,130309.2,9518,65346,9.99,295.9,50535.81,0.174,0.0
2016-01-01,137066.6,9547,65476,5.47,504.9,54876.94,0.174,0.0
2016-04-01,115380.5,9598,65606,7.69,222.6,44057.81,0.171,0.0
2016-07-01,109068.6,9627,65695,14.89,259.7,39626.81,0.167,0.0
2016-10-01,131542.1,9674,65785,9.75,248.1,52846.24,0.168,0.0
2017-01-01,133776.8,9753,65875,4.97,246.5,54587.029999999984,0.164,0.0
2017-04-01,109979.3,9823,65964,9.12,188.1,43059.270000000004,0.157,0.0
2017-07-01,107668.2,9877,66045,14.7,313.9,40622.060000000005,0.156,0.0
2017-10-01,128134.9,9939,66126,9.84,326.2,52427.94,0.158,0.0
2018-01-01,134121.9,9935,66206,3.52,321.8,56900.95000000001,0.159,0.0
2018-04-01,110743.7,9944,66287,8.08,235.4,42676.31,0.157,0.0
2018-07-01,109326.0,9963,66372,15.76,171.9,40169.66,0.157,0.0
2018-10-01,126890.4,9963,66457,9.73,327.2,50779.579999999994,0.154,0.0
2019-01-01,127059.8,10001,66542,5.05,253.3,52065.060000000005,0.151,0.0
2019-04-01,110591.6,10009,66628,8.38,241.1,42579.42999999999,0.152,0.0
2019-07-01,104422.2,10060,66656,15.14,330.7,37888.33000000001,0.146,0.0
2019-10-01,124236.2,10056,66684,9.1,384.9,51333.07,0.145,0.0
2020-01-01,123325.0,9776,66712,5.28,474.7,51626.310000000005,0.149,1927.0
2020-04-01,86119.7,7827,66740,8.68,141.4,31679.98999999999,0.148,53388.990000000005
2020-07-01,93837.0,9146,66799,14.76,325.5,34444.149999999994,0.142,2944.0
2020-10-01,110871.5,9263,66859,9.98,365.0,46943.229999999996,0.139,32072.0
2021-01-01,113041.5,9155,66918,3.51,412.4,48792.14,0.14,60810.0
2021-04-01,98231.6,9786,66978,7.07,228.4,39508.86000000001,0.132,2928.0
2021-07-01,96688.7,9927,67143,15.28,186.1,35134.159999999996,0.132,9117.0
2021-10-01,116881.6,10039,67307,10.84,331.4,47433.91,0.136,12873.0
2022-01-01,112725.3,10116,67472,5.18,329.8,48539.18,0.13,14829.0
2022-04-01,100675.4,10147,67636,8.87,177.1,39047.97999999999,0.135,9558.0
2022-07-01,100142.1,10124,67859,15.71,161.6,36275.64,0.137,7509.99
2022-10-01,109987.9,10118,68081,11.05,419.6,44754.7,0.131,6986.01
2023-01-01,109706.9,10090,68304,4.32,292.8,47447.89,0.126,8699.0
2023-04-01,95012.5,10062,68526,8.37,247.5,37492.28999999999,0.126,4600.0
2023-07-01,92715.5,10010,68715,15.36,286.3,34361.36,0.126,382.0
2023-10-01,106259.4,9950,68904,10.74,420.4,44497.130000000005,0.124,0.0
2024-01-01,114491.9,10007,69093,5.29,461.0,46648.259999999995,0.131,0.0
2024-04-01,98590.0,10043,69281,9.02,300.8,37449.079999999994,0.13,0.0
2024-07-01,95843.1,10052,69357,15.8,244.5,34702.37,0.128,0.0
2024-10-01,111622.3,10065,69433,10.84,315.9,45175.19,0.128,0.0
2025-01-01,115136.7,10120,69509,5.79,313.8,48075.810000000005,0.129,0.0
