quarter,Mobility_Retail_Recreation_observed_days,Mobility_Retail_Recreation_expected_days,Mobility_Retail_Recreation_coverage_ratio,Mobility_Retail_Recreation_missing_days,Mobility_Retail_Recreation_first_observed,Mobility_Retail_Recreation_last_observed,Mobility_Grocery_Pharmacy_observed_days,Mobility_Grocery_Pharmacy_expected_days,Mobility_Grocery_Pharmacy_coverage_ratio,Mobility_Grocery_Pharmacy_missing_days,Mobility_Grocery_Pharmacy_first_observed,Mobility_Grocery_Pharmacy_last_observed,Mobility_Parks_observed_days,Mobility_Parks_expected_days,Mobility_Parks_coverage_ratio,Mobility_Parks_missing_days,Mobility_Parks_first_observed,Mobility_Parks_last_observed,Mobility_Transit_Stations_observed_days,Mobility_Transit_Stations_expected_days,Mobility_Transit_Stations_coverage_ratio,Mobility_Transit_Stations_missing_days,Mobility_Transit_Stations_first_observed,Mobility_Transit_Stations_last_observed,Mobility_Workplaces_observed_days,Mobility_Workplaces_expected_days,Mobility_Workplaces_coverage_ratio,Mobility_Workplaces_missing_days,Mobility_Workplaces_first_observed,Mobility_Workplaces_last_observed,Mobility_Residential_observed_days,Mobility_Residential_expected_days,Mobility_Residential_coverage_ratio,Mobility_Residential_missing_days,Mobility_Residential_first_observed,Mobility_Residential_last_observed,completeness_ratio,min_completeness_threshold,inclusion_status
2020-01-01,46,91,0.5054945054945055,45,2020-02-15,2020-03-31,46,91,0.5054945054945055,45,2020-02-15,2020-03-31,46,91,0.5054945054945055,45,2020-02-15,2020-03-31,46,91,0.5054945054945055,45,2020-02-15,2020-03-31,46,91,0.5054945054945055,45,2020-02-15,2020-03-31,46,91,0.5054945054945055,45,2020-02-15,2020-03-31,0.5054945054945055,0.8,excluded_incomplete
2020-04-01,91,91,1.0,0,2020-04-01,2020-06-30,91,91,1.0,0,2020-04-01,2020-06-30,91,91,1.0,0,2020-04-01,2020-06-30,91,91,1.0,0,2020-04-01,2020-06-30,91,91,1.0,0,2020-04-01,2020-06-30,91,91,1.0,0,2020-04-01,2020-06-30,1.0,0.8,included
2020-07-01,92,92,1.0,0,2020-07-01,2020-09-30,92,92,1.0,0,2020-07-01,2020-09-30,92,92,1.0,0,2020-07-01,2020-09-30,92,92,1.0,0,2020-07-01,2020-09-30,92,92,1.0,0,2020-07-01,2020-09-30,92,92,1.0,0,2020-07-01,2020-09-30,1.0,0.8,included
2020-10-01,92,92,1.0,0,2020-10-01,2020-12-31,92,92,1.0,0,2020-10-01,2020-12-31,92,92,1.0,0,2020-10-01,2020-12-31,92,92,1.0,0,2020-10-01,2020-12-31,92,92,1.0,0,2020-10-01,2020-12-31,92,92,1.0,0,2020-10-01,2020-12-31,1.0,0.8,included
2021-01-01,90,90,1.0,0,2021-01-01,2021-03-31,90,90,1.0,0,2021-01-01,2021-03-31,90,90,1.0,0,2021-01-01,2021-03-31,90,90,1.0,0,2021-01-01,2021-03-31,90,90,1.0,0,2021-01-01,2021-03-31,90,90,1.0,0,2021-01-01,2021-03-31,1.0,0.8,included
2021-04-01,91,91,1.0,0,2021-04-01,2021-06-30,91,91,1.0,0,2021-04-01,2021-06-30,91,91,1.0,0,2021-04-01,2021-06-30,91,91,1.0,0,2021-04-01,2021-06-30,91,91,1.0,0,2021-04-01,2021-06-30,91,91,1.0,0,2021-04-01,2021-06-30,1.0,0.8,included
2021-07-01,92,92,1.0,0,2021-07-01,2021-09-30,92,92,1.0,0,2021-07-01,2021-09-30,92,92,1.0,0,2021-07-01,2021-09-30,92,92,1.0,0,2021-07-01,2021-09-30,92,92,1.0,0,2021-07-01,2021-09-30,92,92,1.0,0,2021-07-01,2021-09-30,1.0,0.8,included
2021-10-01,92,92,1.0,0,2021-10-01,2021-12-31,92,92,1.0,0,2021-10-01,2021-12-31,92,92,1.0,0,2021-10-01,2021-12-31,92,92,1.0,0,2021-10-01,2021-12-31,92,92,1.0,0,2021-10-01,2021-12-31,92,92,1.0,0,2021-10-01,2021-12-31,1.0,0.8,included
2022-01-01,90,90,1.0,0,2022-01-01,2022-03-31,90,90,1.0,0,2022-01-01,2022-03-31,90,90,1.0,0,2022-01-01,2022-03-31,90,90,1.0,0,2022-01-01,2022-03-31,90,90,1.0,0,2022-01-01,2022-03-31,90,90,1.0,0,2022-01-01,2022-03-31,1.0,0.8,included
2022-04-01,91,91,1.0,0,2022-04-01,2022-06-30,91,91,1.0,0,2022-04-01,2022-06-30,91,91,1.0,0,2022-04-01,2022-06-30,91,91,1.0,0,2022-04-01,2022-06-30,91,91,1.0,0,2022-04-01,2022-06-30,91,91,1.0,0,2022-04-01,2022-06-30,1.0,0.8,included
2022-07-01,92,92,1.0,0,2022-07-01,2022-09-30,92,92,1.0,0,2022-07-01,2022-09-30,92,92,1.0,0,2022-07-01,2022-09-30,92,92,1.0,0,2022-07-01,2022-09-30,92,92,1.0,0,2022-07-01,2022-09-30,92,92,1.0,0,2022-07-01,2022-09-30,1.0,0.8,included
2022-10-01,15,92,0.16304347826086957,77,2022-10-01,2022-10-15,15,92,0.16304347826086957,77,2022-10-01,2022-10-15,15,92,0.16304347826086957,77,2022-10-01,2022-10-15,15,92,0.16304347826086957,77,2022-10-01,2022-10-15,15,92,0.16304347826086957,77,2022-10-01,2022-10-15,15,92,0.16304347826086957,77,2022-10-01,2022-10-15,0.1630434782608696,0.8,excluded_post_primary_window
