Entity,Code,Year,Share of electricity from low-carbon sources
United Kingdom,GBR,1985,21.822412
United Kingdom,GBR,1986,21.20706
United Kingdom,GBR,1987,19.66979
United Kingdom,GBR,1988,22.129559
United Kingdom,GBR,1989,24.321344
United Kingdom,GBR,1990,22.354965
United Kingdom,GBR,1991,23.470018
United Kingdom,GBR,1992,25.890856
United Kingdom,GBR,1993,29.423418
United Kingdom,GBR,1994,29.17075
United Kingdom,GBR,1995,28.344496
United Kingdom,GBR,1996,28.603188
United Kingdom,GBR,1997,30.036787
United Kingdom,GBR,1998,29.814453
United Kingdom,GBR,1999,28.453077
United Kingdom,GBR,2000,25.186974
United Kingdom,GBR,2001,25.89339
United Kingdom,GBR,2002,25.557795
United Kingdom,GBR,2003,24.95668
United Kingdom,GBR,2004,23.898252
United Kingdom,GBR,2005,24.739552
United Kingdom,GBR,2006,23.548218
United Kingdom,GBR,2007,20.843729
United Kingdom,GBR,2008,19.135645
United Kingdom,GBR,2009,25.039812
United Kingdom,GBR,2010,23.116789
United Kingdom,GBR,2011,28.31209
United Kingdom,GBR,2012,30.684036
United Kingdom,GBR,2013,34.559563
United Kingdom,GBR,2014,37.937767
United Kingdom,GBR,2015,45.356625
United Kingdom,GBR,2016,45.621796
United Kingdom,GBR,2017,50.035477
United Kingdom,GBR,2018,52.492805
United Kingdom,GBR,2019,53.766922
United Kingdom,GBR,2020,59.255558
United Kingdom,GBR,2021,54.75479
United Kingdom,GBR,2022,56.214188
United Kingdom,GBR,2023,60.25707
United Kingdom,GBR,2024,64.931725
United Kingdom,GBR,2025,64.417915
