Entity,Code,Year,Renewables
United Kingdom,GBR,1985,1.3268555
United Kingdom,GBR,1986,1.5841147
United Kingdom,GBR,1987,1.3858436
United Kingdom,GBR,1988,1.5819995
United Kingdom,GBR,1989,1.5186039
United Kingdom,GBR,1990,1.792025
United Kingdom,GBR,1991,1.6228938
United Kingdom,GBR,1992,1.9654871
United Kingdom,GBR,1993,1.7702949
United Kingdom,GBR,1994,2.1374326
United Kingdom,GBR,1995,1.9797283
United Kingdom,GBR,1996,1.6216832
United Kingdom,GBR,1997,2.047509
United Kingdom,GBR,1998,2.3848252
United Kingdom,GBR,1999,2.6130652
United Kingdom,GBR,2000,2.628229
United Kingdom,GBR,2001,2.4794033
United Kingdom,GBR,2002,2.8716042
United Kingdom,GBR,2003,2.684513
United Kingdom,GBR,2004,3.5895612
United Kingdom,GBR,2005,4.2500315
United Kingdom,GBR,2006,4.5560956
United Kingdom,GBR,2007,4.959553
United Kingdom,GBR,2008,5.640683
United Kingdom,GBR,2009,6.699225
United Kingdom,GBR,2010,6.852327
United Kingdom,GBR,2011,9.565997
United Kingdom,GBR,2012,11.333718
United Kingdom,GBR,2013,14.851513
United Kingdom,GBR,2014,19.081284
United Kingdom,GBR,2015,24.599405
United Kingdom,GBR,2016,24.473732
United Kingdom,GBR,2017,29.238365
United Kingdom,GBR,2018,32.99976
United Kingdom,GBR,2019,36.596474
United Kingdom,GBR,2020,43.06478
United Kingdom,GBR,2021,39.7824
United Kingdom,GBR,2022,41.6107
United Kingdom,GBR,2023,46.378147
United Kingdom,GBR,2024,50.647522
United Kingdom,GBR,2025,51.97222
