name,target_derived,safe_at_h1,safe_at_h2,safe_at_h4,retained_after_audit,A1,A2,A3,A4
GDP,0,1,1,1,1,1,1,1,1
Population,0,1,1,1,1,1,1,1,1
Air_Temp,0,1,1,1,1,1,1,1,1
Rainfall,0,1,1,1,1,1,1,1,1
COVID_Deaths,0,1,1,1,1,1,1,1,1
Mobility_Retail_Recreation,0,1,1,1,1,1,1,1,1
Mobility_Grocery_Pharmacy,0,1,1,1,1,1,1,1,1
Mobility_Parks,0,1,1,1,1,1,1,1,1
Mobility_Transit_Stations,0,1,1,1,1,1,1,1,1
Mobility_Workplaces,0,1,1,1,1,1,1,1,1
Mobility_Residential,0,1,1,1,1,1,1,1,1
CO2e_lag1,1,1,1,1,1,0,1,0,1
CO2e_lag2,1,1,1,1,1,0,1,0,1
CO2e_lag3,1,1,1,1,1,0,1,0,1
CO2e_lag4,1,1,1,1,1,0,1,0,1
CO2e_dlog,1,1,1,1,1,0,1,0,1
GDP_dlog,0,1,1,1,1,0,1,0,1
CO2e_per_Population,1,1,1,1,1,0,1,0,1
HDD_proxy,0,1,1,1,1,0,1,0,1
CDD_proxy,0,1,1,1,1,0,1,0,1
Q2,0,1,1,1,1,0,1,0,1
Q3,0,1,1,1,1,0,1,0,1
Q4,0,1,1,1,1,0,1,0,1
COVID,0,1,1,1,1,0,1,0,1
EnergyCrisis,0,1,1,1,1,0,1,0,1
Grid_CI_mean,0,1,1,1,1,0,0,1,1
Grid_CI_p90,0,1,1,1,1,0,0,1,1
Grid_CI_std,0,1,1,1,1,0,0,1,1
Grid_CI_high_share,0,1,1,1,1,0,0,1,1
Grid_CI_low_share,0,1,1,1,1,0,0,1,1
Grid_renewable_share,0,1,1,1,1,0,0,1,1
Grid_low_carbon_share,0,1,1,1,1,0,0,1,1
Grid_fossil_share,0,1,1,1,1,0,0,1,1
Grid_gas_share,0,1,1,1,1,0,0,1,1
Grid_wind_share,0,1,1,1,1,0,0,1,1
OWID_RenewableShare_L1Y,0,1,1,1,1,0,0,1,1
OWID_LowCarbonShare_L1Y,0,1,1,1,1,0,0,1,1
