quarter,expected_obs,observed_obs,completeness_ratio,n_missing_intervals,n_forecast_fallback_imputed,imputation_rule,min_completeness_threshold,inclusion_status
2017-10-01,4416,1,0.0002264492753623,4415,626,actual; fallback to forecast if actual is null; else NaN,0.95,excluded_incomplete
2018-01-01,4320,4320,1.0,0,2704320,actual; fallback to forecast if actual is null; else NaN,0.95,included
2018-04-01,4368,4368,1.0,0,2734368,actual; fallback to forecast if actual is null; else NaN,0.95,included
2018-07-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2018-10-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2019-01-01,4320,4320,1.0,0,2704320,actual; fallback to forecast if actual is null; else NaN,0.95,included
2019-04-01,4368,4368,1.0,0,2734368,actual; fallback to forecast if actual is null; else NaN,0.95,included
2019-07-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2019-10-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2020-01-01,4368,4368,1.0,0,2734368,actual; fallback to forecast if actual is null; else NaN,0.95,included
2020-04-01,4368,4368,1.0,0,2734368,actual; fallback to forecast if actual is null; else NaN,0.95,included
2020-07-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2020-10-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2021-01-01,4320,4320,1.0,0,2704320,actual; fallback to forecast if actual is null; else NaN,0.95,included
2021-04-01,4368,4365,0.9993131868131868,3,2732490,actual; fallback to forecast if actual is null; else NaN,0.95,included
2021-07-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2021-10-01,4416,4362,0.9877717391304348,54,2730612,actual; fallback to forecast if actual is null; else NaN,0.95,included
2022-01-01,4320,4320,1.0,0,2704320,actual; fallback to forecast if actual is null; else NaN,0.95,included
2022-04-01,4368,4368,1.0,0,2734368,actual; fallback to forecast if actual is null; else NaN,0.95,included
2022-07-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2022-10-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2023-01-01,4320,4320,1.0,0,2704320,actual; fallback to forecast if actual is null; else NaN,0.95,included
2023-04-01,4368,4368,1.0,0,2734368,actual; fallback to forecast if actual is null; else NaN,0.95,included
2023-07-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2023-10-01,4416,4325,0.9793931159420288,91,2707450,actual; fallback to forecast if actual is null; else NaN,0.95,included
2024-01-01,4368,4368,1.0,0,2734368,actual; fallback to forecast if actual is null; else NaN,0.95,included
2024-04-01,4368,4337,0.9929029304029304,31,2714962,actual; fallback to forecast if actual is null; else NaN,0.95,included
2024-07-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2024-10-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2025-01-01,4320,4320,1.0,0,2704320,actual; fallback to forecast if actual is null; else NaN,0.95,included
2025-04-01,4368,4368,1.0,0,2734368,actual; fallback to forecast if actual is null; else NaN,0.95,included
2025-07-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2025-10-01,4416,4416,1.0,0,2764416,actual; fallback to forecast if actual is null; else NaN,0.95,included
2026-01-01,4320,4320,1.0,0,2704320,actual; fallback to forecast if actual is null; else NaN,0.95,included
2026-04-01,4368,4368,1.0,0,2734368,actual; fallback to forecast if actual is null; else NaN,0.95,included
2026-07-01,4416,1491,0.3376358695652174,2925,933366,actual; fallback to forecast if actual is null; else NaN,0.95,excluded_incomplete
