configuration,panel,fs_option,model,pareto_status,weighted_mase,worst_horizon_mase,error_std,n_features,total_runtime_seconds,mase_h1,mase_h2,mase_h4,vikor_S,vikor_R,vikor_Q,vikor_rank,final_decision
A3,panel2_common_period,fs_wrapper,catboost,non_dominated,0.6459022481959835,0.7353335606675278,1333.4785940236677,15,11.06879997253418,0.7353335606675278,0.4891209687449411,0.6574958861936865,0.2984662822684018,0.125,0.5055561443896053,15.0,
A3,panel2_common_period,fs_wrapper,random_forest,non_dominated,0.7191965190311599,0.7469285529581601,1126.4690200673797,15,1.0655291080474854,0.7469285529581601,0.729891794931306,0.63382352036344,0.29002193248238534,0.125,0.4918077590765014,14.0,
A3,panel2_common_period,fs_xgboost_shap,ridge,non_dominated,0.8552300931336236,0.9388070928941148,1343.1433988434012,6,0.0052096843719482,0.9388070928941148,0.6658893366514514,0.9302987284556542,0.30355122668089013,0.11451634931584305,0.4791823532943368,13.0,
A1,panel2_common_period,fs_linear,ridge,non_dominated,0.8796317971671495,0.9510382890911324,1065.359189310495,6,0.0052449703216552,0.9494285886508056,0.7156994834117341,0.9510382890911324,0.2869431319904148,0.12252798730824808,0.47862411908933844,12.0,
A1,panel2_common_period,fs_xgboost_shap,ridge,non_dominated,0.8803982273796316,0.9541202068530328,1095.898515186048,5,0.0050230026245117,0.9499066168516592,0.7154029252773182,0.9541202068530328,0.2788020849757105,0.12277962389069384,0.4662013059236916,11.0,
A3,panel2_common_period,fs_wrapper,lightgbm,non_dominated,0.5064382398753859,0.639686470284813,1803.4378044869025,15,0.0955028533935546,0.4864750748259402,0.639686470284813,0.3564738068848597,0.25421121925460743,0.125,0.43350374559190463,10.0,
A2,panel2_common_period,fs_xgboost_shap,ridge,non_dominated,0.8631033673313251,0.930123763559192,1050.3947654765475,5,0.0055012702941894,0.930123763559192,0.7116047703093681,0.9228002722945924,0.2608628087119543,0.11710132545522511,0.41822501876434603,9.0,
A3,panel2_common_period,fs_linear,catboost,non_dominated,0.6502309549259357,0.7265660361719393,1274.6372758969626,11,14.69077205657959,0.7265660361719393,0.5097073946606856,0.6701785922088023,0.24648939530544325,0.07500000000000001,0.2556616493692426,8.0,
A3,panel2_common_period,fs_linear,random_forest,non_dominated,0.7028928898980983,0.7639265796457022,1013.6508582380956,11,0.9639875888824464,0.7639265796457022,0.6205412986931862,0.6738360523364565,0.22832590326497057,0.07500000000000001,0.22608936807679325,7.0,
A2,panel2_common_period,fs_xgboost_shap,random_forest,non_dominated,0.7285041110310485,0.821464724428051,1310.7546616025531,5,1.9086756706237795,0.694086324534526,0.821464724428051,0.6751076571768511,0.21182870145036528,0.07665268437490566,0.2046927865660688,6.0,
A1,panel2_common_period,fs_wrapper,catboost,non_dominated,0.6294096386011814,0.6768608193313876,1092.6703754956577,11,17.632507801055908,0.6768608193313876,0.5561574910026015,0.6206599081735351,0.2096541362282872,0.07500000000000001,0.19568955587077458,5.0,
A3,panel2_common_period,fs_xgboost_shap,random_forest,non_dominated,0.6918208146213009,0.759614461191931,1464.6462377676362,6,1.0767884254455566,0.759614461191931,0.6155116798713987,0.6368004003195786,0.20725065339577384,0.07520583622632672,0.19245677712568943,4.0,
A2,panel2_common_period,fs_xgboost_shap,catboost,non_dominated,0.6887347930173113,0.799608655956023,1141.535933399104,5,10.233753204345703,0.6333966111941639,0.799608655956023,0.6607694531671128,0.1869373612886321,0.06973547196673516,0.14130262147805547,3.0,
A3,panel2_common_period,fs_linear,lightgbm,non_dominated,0.5182814515194354,0.5792679810862083,1506.9136265137988,11,0.1356391906738281,0.5792679810862083,0.5317217750362668,0.3456546423272559,0.15862489340301741,0.07954097436942276,0.1276177458516696,2.0,
A1,panel2_common_period,fs_linear,catboost,non_dominated,0.6548666323253567,0.6967684655693338,982.5291616911976,6,12.460653066635132,0.6967684655693338,0.5966489757731084,0.6374385340437864,0.1427886981551822,0.04873243878665176,0.0,1.0,selected
