comparison,alternative,baseline,panel,model,fs_option,horizon,mae_alternative,mae_baseline,absolute_error_change,percentage_improvement,ci_low,ci_high,dm_statistic,dm_p_value,n_pairs,dm_p_value_bh
A2-A1,A2,A1,panel2_common_period,catboost,all_features,1,5198.105454267555,4777.08342484856,421.02202941899486,-8.813369832082047,-1867.0049221235145,2473.3620253912686,0.3611228125358555,0.725520235936679,11,0.9775297036541042
A2-A1,A2,A1,panel2_common_period,catboost,all_features,2,5257.933467476905,4122.803425909307,1135.1300415675978,-27.532965419452143,-977.4674809126128,3148.571754771607,2.4855496931666754,0.0418684750634266,8,0.3768162755708395
A2-A1,A2,A1,panel2_common_period,catboost,all_features,4,5377.185845624828,4726.147869339131,651.0379762856974,-13.775235017704462,-2513.046955724335,4040.7323934846536,0.4362955652361382,0.6757621168660273,8,0.9775297036541042
A2-A1,A2,A1,panel2_common_period,lightgbm,all_features,1,7773.638619258312,6025.958822940062,1747.6797963182498,-29.00251806675237,-1901.728842248237,5272.216550931739,0.9019456642775524,0.3882935726567496,11,0.9775297036541042
A2-A1,A2,A1,panel2_common_period,lightgbm,all_features,2,5414.767475862132,5565.998674041884,-151.23119817975203,2.717054153912182,-2088.108427658205,1745.2691328758235,-0.088509386980329,0.9319508076493352,8,0.9775297036541042
A2-A1,A2,A1,panel2_common_period,lightgbm,all_features,4,6224.177308138545,4144.823578795482,2079.353729343064,-50.16748456993048,-145.10461585173417,4133.256730477226,,,8,
A2-A1,A2,A1,panel2_common_period,lstm,all_features,1,5017.347727272736,7200.182670454516,-2182.83494318178,30.316382834825863,-4005.788043323851,-310.2448082385763,-2.13161011623648,0.0588613860554605,11,0.3973143558743586
A2-A1,A2,A1,panel2_common_period,lstm,all_features,2,4986.608203125019,7338.7421874999745,-2352.133984374956,32.0509145065939,-4660.14771484375,-57.89218749992961,-1.236761907715072,0.2560561803020258,8,0.9775297036541042
A2-A1,A2,A1,panel2_common_period,lstm,all_features,4,5828.448046875004,8110.137304687476,-2281.689257812472,28.13379320339875,-4751.487441406222,346.00957031255894,-1.045233776613628,0.3306602720059322,8,0.9775297036541042
A2-A1,A2,A1,panel2_common_period,random_forest,all_features,1,5059.114246501386,6006.79590968602,-947.6816631846332,15.776824740399237,-3561.8937172557244,1492.1407804197777,-0.6986249695551285,0.5007105075192517,11,0.9775297036541042
A2-A1,A2,A1,panel2_common_period,random_forest,all_features,2,5543.444353561967,5721.5992510629785,-178.15489750101187,3.1137255456665134,-3982.481883032192,3422.361005191591,-0.0856964585440914,0.9341073490001084,8,0.9775297036541042
A2-A1,A2,A1,panel2_common_period,random_forest,all_features,4,5241.602409587229,3426.8401512734763,1814.762258313753,-52.95730697095264,-132.18319005206962,3807.387382929946,0.7177571745919956,0.4961561380910768,8,0.9775297036541042
A2-A1,A2,A1,panel2_common_period,ridge,all_features,1,5732.884411144329,6953.423050624446,-1220.5386394801171,17.55306171642336,-2349.9172760251035,113.38032721079588,-1.8667115939470265,0.0915010032182468,11,0.4941054173785328
A2-A1,A2,A1,panel2_common_period,ridge,all_features,2,4204.478744429813,5478.375399039043,-1273.8966546092306,23.253182956989104,-2173.715424480055,-238.4242088172534,-2.514473676907828,0.0401334963501356,8,0.3768162755708395
A2-A1,A2,A1,panel2_common_period,ridge,all_features,4,6001.145728747768,7266.512449231992,-1265.366720484224,17.413673056019636,-2055.228298592016,-286.0835038826756,,,8,
