feature,fs_linear,fs_wrapper,fs_xgboost_shap,fs_permutation_stability,fs_consensus
GDP,0,1,1,0,1
Population,0,1,1,0,1
GDP_dlog,1,1,0,0,1
CO2e_lag2,0,1,1,0,1
Mobility_Parks,1,1,0,0,1
Grid_CI_low_share,1,1,0,0,1
Grid_fossil_share,0,1,0,1,1
Grid_wind_share,0,1,0,1,1
CO2e_lag4,0,1,1,0,1
Q2,1,1,0,0,1
Grid_CI_std,1,1,0,0,1
Grid_CI_high_share,0,1,1,0,1
Q4,1,1,0,0,1
OWID_LowCarbonShare_L1Y,1,0,0,1,1
Grid_gas_share,0,1,0,1,1
Air_Temp,0,0,1,0,0
Rainfall,0,1,0,0,0
COVID_Deaths,0,1,0,0,0
Mobility_Workplaces,1,0,0,0,0
Mobility_Transit_Stations,0,1,0,0,0
Mobility_Grocery_Pharmacy,1,0,0,0,0
Q3,0,1,0,0,0
Grid_renewable_share,0,1,0,0,0
COVID,1,0,0,0,0
Grid_CI_p90,0,1,0,0,0
Grid_low_carbon_share,1,0,0,0,0
CO2e_dlog,1,0,0,0,0
HDD_proxy,0,1,0,0,0
CDD_proxy,1,0,0,0,0
OWID_RenewableShare_L1Y,0,0,0,1,0
CO2e_per_Population,0,0,0,0,0
Mobility_Residential,0,0,0,0,0
CO2e_lag1,0,0,0,0,0
Mobility_Retail_Recreation,0,0,0,0,0
CO2e_lag3,0,0,0,0,0
Grid_CI_mean,0,0,0,0,0
EnergyCrisis,0,0,0,0,0
