scheme_a,scheme_b,spearman_rho,p_value,top_choice_a,top_choice_b,top_choice_agrees
vikor_equal,vikor_accuracy_emphasis,0.6058823529411764,0.0128602985333671,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_equal,vikor_horizon_robustness_emphasis,0.6558823529411765,0.0058007369622315,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_equal,vikor_stability_emphasis,0.4911764705882353,0.0533504356779433,A3/all_features/lightgbm,A4/all_features/catboost,False
vikor_equal,vikor_parsimony_emphasis,0.5294117647058824,0.0349520067895181,A3/all_features/lightgbm,A1/all_features/catboost,False
vikor_equal,vikor_runtime_emphasis,0.6088235294117647,0.0123152031982464,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_equal,topsis_equal,0.7794117647058825,0.0003716802364787,A3/all_features/lightgbm,A3/all_features/random_forest,False
vikor_equal,weighted_sum_equal,0.9470588235294116,2.715731165956679e-08,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_accuracy_emphasis,vikor_horizon_robustness_emphasis,0.9852941176470588,3.836719544768076e-12,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_accuracy_emphasis,vikor_stability_emphasis,0.7147058823529412,0.0018627410999474,A3/all_features/lightgbm,A4/all_features/catboost,False
vikor_accuracy_emphasis,vikor_parsimony_emphasis,0.1117647058823529,0.6802736949858406,A3/all_features/lightgbm,A1/all_features/catboost,False
vikor_accuracy_emphasis,vikor_runtime_emphasis,0.7617647058823529,0.0006053428380705,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_accuracy_emphasis,topsis_equal,0.1676470588235294,0.5348568245819433,A3/all_features/lightgbm,A3/all_features/random_forest,False
vikor_accuracy_emphasis,weighted_sum_equal,0.7323529411764707,0.0012549581661522,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_horizon_robustness_emphasis,vikor_stability_emphasis,0.7264705882352941,0.0014361826350785,A3/all_features/lightgbm,A4/all_features/catboost,False
vikor_horizon_robustness_emphasis,vikor_parsimony_emphasis,0.1970588235294117,0.4644642112257386,A3/all_features/lightgbm,A1/all_features/catboost,False
vikor_horizon_robustness_emphasis,vikor_runtime_emphasis,0.7264705882352941,0.0014361826350785,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_horizon_robustness_emphasis,topsis_equal,0.2323529411764706,0.3865113499079847,A3/all_features/lightgbm,A3/all_features/random_forest,False
vikor_horizon_robustness_emphasis,weighted_sum_equal,0.7794117647058825,0.0003716802364787,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_stability_emphasis,vikor_parsimony_emphasis,0.0,1.0,A4/all_features/catboost,A1/all_features/catboost,False
vikor_stability_emphasis,vikor_runtime_emphasis,0.4617647058823529,0.0717684158405379,A4/all_features/catboost,A3/all_features/lightgbm,False
vikor_stability_emphasis,topsis_equal,0.2117647058823529,0.431083247239221,A4/all_features/catboost,A3/all_features/random_forest,False
vikor_stability_emphasis,weighted_sum_equal,0.6264705882352941,0.0094139773067836,A4/all_features/catboost,A3/all_features/lightgbm,False
vikor_parsimony_emphasis,vikor_runtime_emphasis,-0.1088235294117647,0.688288293957414,A1/all_features/catboost,A3/all_features/lightgbm,False
vikor_parsimony_emphasis,topsis_equal,0.2588235294117647,0.3330723066336081,A1/all_features/catboost,A3/all_features/random_forest,False
vikor_parsimony_emphasis,weighted_sum_equal,0.5470588235294118,0.0283010872421088,A1/all_features/catboost,A3/all_features/lightgbm,False
vikor_runtime_emphasis,topsis_equal,0.4970588235294117,0.0501335578037741,A3/all_features/lightgbm,A3/all_features/random_forest,False
vikor_runtime_emphasis,weighted_sum_equal,0.6558823529411765,0.0058007369622315,A3/all_features/lightgbm,A3/all_features/lightgbm,True
topsis_equal,weighted_sum_equal,0.6470588235294118,0.0067420770071798,A3/all_features/random_forest,A3/all_features/lightgbm,False
