feature,ridge_rank,random_forest_rank,lightgbm_rank,catboost_rank,lstm_rank,average_rank,rank_dispersion,n_models_scored
Air_Temp,5,10,1,5,1,4.4,3.714835124201342,5
Grid_CI_p90,3,2,1,2,17,5.0,6.745368781616021,5
Mobility_Parks,4,5,1,8,8,5.2,2.949576240750525,5
Grid_CI_std,23,1,1,1,2,5.6,9.736529155710466,5
Grid_CI_mean,1,8,1,6,13,5.8,5.06951674225463,5
Grid_CI_high_share,12,13,1,3,3,6.4,5.639148871948674,5
Rainfall,8,4,1,9,10,6.4,3.781534080237808,5
Population,10,3,1,7,14,7.0,5.244044240850758,5
OWID_LowCarbonShare_L1Y,2,7,1,10,18,7.6,6.877499545619759,5
OWID_RenewableShare_L1Y,15,6,1,12,6,8.0,5.522680508593631,5
Grid_CI_low_share,9,9,1,15,9,8.6,4.979959839195493,5
Grid_renewable_share,14,12,1,18,4,9.8,7.085195833567341,5
COVID_Deaths,13,11,1,4,22,10.2,8.228000972289685,5
Grid_low_carbon_share,6,22,1,16,7,10.4,8.44393273303382,5
Grid_wind_share,18,19,1,14,5,11.4,8.018728078691783,5
Mobility_Workplaces,16,17,1,11,21,13.2,7.694153624668537,5
GDP,7,20,1,20,19,13.4,8.848728722251575,5
Grid_gas_share,17,18,1,17,15,13.6,7.127411872482185,5
Mobility_Retail_Recreation,11,21,1,13,23,13.8,8.78635305459552,5
Mobility_Residential,21,16,1,22,11,14.2,8.5848704125339,5
Mobility_Transit_Stations,19,23,1,19,12,14.8,8.671793355471522,5
Mobility_Grocery_Pharmacy,20,14,1,21,20,15.2,8.408329203831164,5
Grid_fossil_share,22,15,1,23,16,15.4,8.792041856133308,5
