panel,variant,model,weighted_mase,mase_h1,mase_h2,mase_h4
a_family,A3_no_grid,lightgbm,0.6370806403789556,0.800978424741759,0.5423783121836293,0.3693896717649371
a_family,A3_CI_only,catboost,0.6315534455777275,0.70336578248974,0.6057592170926099,0.4907139460253726
a_family,A3_genmix_only,lightgbm,0.7510387197479581,0.6603155818993057,0.7027372165576623,1.0502988191550326
a_family,A3_full,lightgbm,0.4541120170628795,0.3762793997352335,0.5751086612925513,0.4671985940374868
b_statistic,A3_no_grid,lightgbm,0.6370806403789556,0.800978424741759,0.5423783121836293,0.3693896717649371
b_statistic,A3_CI_mean_only,lightgbm,0.5979271362673391,0.6821585481898025,0.5560441048545961,0.4501731535802947
b_statistic,A3_CI_lowshare_only,catboost,0.613742756251223,0.7205509821359105,0.4380850428673361,0.6102087616153348
b_statistic,A3_CI_p90_only,lightgbm,0.6213794625473268,0.7907783247550633,0.4000034291128814,0.5299463571796534
b_statistic,A3_CI_all,catboost,0.6315534455777275,0.70336578248974,0.6057592170926099,0.4907139460253726
b_statistic,A3_CI_std_only,lightgbm,0.6618980048033246,0.7965229322451983,0.5590183493688033,0.4796551693504221
b_statistic,A3_CI_highshare_only,catboost,0.7089569107480813,0.7791313932818839,0.5659203281095292,0.748075578371403
