feature,pre_covid,covid,post_covid
Grid_CI_std,0.7189069510268529,0.9578109167793614,1.0
Grid_CI_mean,1.0,0.36775805120151556,0.7396318700002076
Grid_CI_p90,1.0,0.6608667988818777,0.5097031206727634
COVID_Deaths,0.9825324712558267,0.9115017156628625,1.0
Population,1.0,0.7205509245044102,0.7311170814795799
GDP,0.4126215340489994,1.0,0.5285868788893755
Air_Temp,0.8940862507647381,0.6670878328180061,1.0
Mobility_Workplaces,0.3364989214503477,1.0,0.22844665485761065
Grid_wind_share,1.0,0.9942003470816518,0.46840493014006096
Grid_low_carbon_share,1.0,0.8266841725644968,0.43672654653556764
