2026-08-01 16:27:33 | INFO     | co2_forecast | Logging to: outputs/logs/generate_forecast_atlas.log
2026-08-01 16:27:33 | INFO     | co2_forecast | ============================================================
2026-08-01 16:27:33 | INFO     | co2_forecast | Script 15: Generate forecast atlas (source run_id=full_run_stage1)
2026-08-01 16:27:33 | INFO     | co2_forecast | ============================================================
2026-08-01 16:27:33 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/atlas_test/fig_family_A1_H1.pdf
2026-08-01 16:27:33 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig_family_A1_H1.csv
2026-08-01 16:27:33 | INFO     | co2_forecast | forecast atlas: fig_family_A1_H1.pdf (11 forecast points)
2026-08-01 16:27:33 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/atlas_test/fig_family_A1_H2.pdf
2026-08-01 16:27:33 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig_family_A1_H2.csv
2026-08-01 16:27:33 | INFO     | co2_forecast | forecast atlas: fig_family_A1_H2.pdf (8 forecast points)
2026-08-01 16:27:33 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/atlas_test/fig_family_A1_H4.pdf
2026-08-01 16:27:33 | INFO     | co2_forecast | Saved plot data: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/plot_data/fig_family_A1_H4.csv
2026-08-01 16:27:33 | INFO     | co2_forecast | forecast atlas: fig_family_A1_H4.pdf (8 forecast points)
2026-08-01 16:29:09 | INFO     | co2_forecast | Logging to: outputs/logs/generate_forecast_atlas.log
2026-08-01 16:29:09 | INFO     | co2_forecast | ============================================================
2026-08-01 16:29:09 | INFO     | co2_forecast | Script 15: Generate forecast atlas (source run_id=full_run_stage1)
2026-08-01 16:29:09 | INFO     | co2_forecast | ============================================================
2026-08-01 16:29:10 | INFO     | co2_forecast | Saved figure: /tmp/claude-1000/-home-mohsen-project-co2-emission-prediction/9dbce0d1-cfb5-40ed-b4d0-e8075e33c91a/scratchpad/atlas_test/fig_family_A1_H1.pdf
