horizon,fold_id,target_date,actual,predicted,error,abs_error,seasonal_naive_error,abs_seasonal_naive_error,grid_advantage_abs_error_reduction,Grid_CI_std,Grid_CI_mean,Grid_CI_p90,top1_shap_feature,top1_shap_abs_value,top2_shap_feature,top2_shap_abs_value,top3_shap_feature,top3_shap_abs_value
1,0,2022-07-01,100142.10000000003,100376.93580323872,234.83580323868955,234.83580323868955,-16739.499999999884,16739.499999999884,16504.664196761194,49.87226028322797,213.55434782608697,272.0,Grid_CI_std,0.066416847425257,Grid_CI_mean,0.0350810498181111,Air_Temp,0.019791004697709332
1,0,2022-10-01,109987.89999999998,107605.4396053912,-2382.4603946087736,2382.4603946087736,-2737.399999999936,2737.399999999936,354.93960539116233,70.33770183728005,167.77377717391303,267.0,Grid_CI_std,0.0735287709969702,Grid_CI_mean,0.0189329370606006,Population,0.01543525799127698
2,3,2022-10-01,109987.89999999998,107787.27929247644,-2200.6207075235434,2200.6207075235434,9312.499999999985,9312.499999999985,7111.879292476442,70.33770183728005,167.77377717391303,267.0,Grid_CI_std,0.0735287709969702,Grid_CI_mean,0.0189329370606006,Population,0.01543525799127698
1,0,2023-01-01,109706.89999999992,109963.07218113884,256.1721811389143,256.1721811389143,9031.499999999927,9031.499999999927,8775.327818861013,66.64720653139696,155.34097222222223,244.0,Grid_CI_std,0.07050885736660055,Grid_CI_mean,0.018705454733701977,COVID_Deaths,0.013740188267587992
2,3,2023-01-01,109706.89999999992,108860.8535178878,-846.0464821121277,846.0464821121277,9564.799999999886,9564.799999999886,8718.753517887759,66.64720653139696,155.34097222222223,244.0,Grid_CI_std,0.07050885736660055,Grid_CI_mean,0.018705454733701977,COVID_Deaths,0.013740188267587992
4,5,2023-04-01,95012.50000000006,90971.22768801168,-4041.272311988374,4041.272311988374,-14694.399999999863,14694.399999999863,10653.12768801149,50.23493343178145,158.35210622710622,225.0,Grid_CI_std,0.07374483310121047,Grid_CI_mean,0.02967793853538991,COVID_Deaths,0.017962558619058062
2,3,2023-04-01,95012.50000000006,100677.6781009613,5665.178100961246,5665.178100961246,-5129.599999999977,5129.599999999977,-535.5781009612692,50.23493343178145,158.35210622710622,225.0,Grid_CI_std,0.07374483310121047,Grid_CI_mean,0.02967793853538991,COVID_Deaths,0.017962558619058062
1,0,2023-04-01,95012.50000000006,95458.44518807936,445.9451880793058,445.9451880793058,-5662.899999999936,5662.899999999936,5216.95481192063,50.23493343178145,158.35210622710622,225.0,Grid_CI_std,0.07374483310121047,Grid_CI_mean,0.02967793853538991,COVID_Deaths,0.017962558619058062
1,1,2023-07-01,92715.5,94954.2936457322,2238.7936457322066,2238.7936457322066,-17272.39999999998,17272.39999999998,15033.606354267773,56.225876412199725,154.01766304347825,230.0,Grid_CI_std,0.07683706612839683,Grid_CI_mean,0.02817880354896491,Air_Temp,0.016573058623140922
4,5,2023-07-01,92715.5,87882.5678143525,-4832.9321856475,4832.9321856475,-16991.39999999992,16991.39999999992,12158.467814352422,56.225876412199725,154.01766304347825,230.0,Grid_CI_std,0.07683706612839683,Grid_CI_mean,0.02817880354896491,Air_Temp,0.016573058623140922
2,3,2023-07-01,92715.5,96865.46157979776,4149.96157979776,4149.96157979776,-7426.600000000035,7426.600000000035,3276.6384202022746,56.225876412199725,154.01766304347825,230.0,Grid_CI_std,0.07683706612839683,Grid_CI_mean,0.02817880354896491,Air_Temp,0.016573058623140922
4,5,2023-10-01,106259.39999999992,100699.78574556828,-5559.614254431639,5559.614254431639,-3447.5,3447.5,-2112.114254431639,73.75054973395697,140.80878612716762,246.0,Grid_CI_std,0.062457048386977056,GDP,0.023185193184374408,Grid_CI_mean,0.018719260521459245
