model,weighted_mae,weighted_mase,worst_horizon_mase,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,smape_h1,mase_h1,r2_h1,mae_h2,rmse_h2,mape_h2,smape_h2,mase_h2,r2_h2,mae_h4,rmse_h4,mape_h4,smape_h4,mase_h4,r2_h4,configuration,panel,fs_option,n_features,n_folds,total_runtime_seconds,variant
ridge,6573.526634870335,0.9051731374752952,0.9852244988483997,0.0009496486352731581,1052.0210467920683,8030.832139472361,6953.423050624446,8323.171788433923,6.937919673849261,6.685131358775393,0.9852244988483997,-0.1177066414785286,5478.375399039045,6971.947384141161,5.543156135584843,5.374451759116226,0.7390212925390527,0.18391287288390745,7266.512449231994,7857.207414481467,7.198275389028436,7.0230739287669985,0.9542725014468978,0.1776121945299054,A3_no_grid,panel2_common_period,all_features,11,7,0.002386331558227539,A3_no_grid
random_forest,5313.476966273961,0.7348028715442646,0.8532937249820725,0.0005962008032376841,1676.2872404221425,7232.19480665815,6022.294678196508,7282.864433934006,5.872717148024926,5.633722732298121,0.8532937249820725,0.14423490907039083,5413.710145175437,7458.340248826954,5.374969748482463,5.164058167996656,0.7302980861116449,0.06607347666558572,3391.082918115375,3833.0762839027498,3.291823289838651,3.2638215885470263,0.4453329160986744,0.8042800251918625,A3_no_grid,panel2_common_period,all_features,11,7,0.31739258766174316,A3_no_grid
catboost,5407.379265576869,0.7485271248445817,0.9399422942117821,0.0005358073559133988,1865.342425059255,8818.574474903784,6633.834646284737,8188.1718664215205,6.403825463636325,6.122872044109037,0.9399422942117821,-0.08174280214639773,3756.3977486929834,5370.547800541216,3.8587697032352173,3.7919474626514704,0.5067301375544329,0.5157546062583087,4817.713089133031,5688.891956985269,4.771662126043973,4.6902154989472,0.6326846823618041,0.5688825539608202,A3_no_grid,panel2_common_period,all_features,11,7,0.05874776840209961,A3_no_grid
lightgbm,4595.291197915426,0.6370806403789556,0.800978424741759,0.0005616621266873695,1779.4298215688962,8256.701636957683,5653.068765710029,7497.637847404376,5.621104156437473,5.348973799911476,0.800978424741759,0.09301723796244499,4020.6581764788552,4814.304962936433,3.916723194033109,3.8984964810766756,0.5423783121836293,0.6108692777934726,2812.7968105837754,3307.4922676672854,2.804851505582273,2.7594402732399197,0.3693896717649371,0.8542737123697924,A3_no_grid,panel2_common_period,all_features,11,7,0.14766597747802734,A3_no_grid
lstm,7424.552301136337,1.020212975816219,1.065158742384338,0.001267673177010431,787.8468559051727,8408.58906249996,7201.297727272698,8167.982665387101,7.091385588762493,6.917427924713299,1.0203456474251502,-0.07641497100183448,7339.0917968749745,8543.85252545555,7.4085848018103775,7.135755384598998,0.9900280120892545,-0.22556348362680634,8110.879492187476,8738.546644414448,7.927057200465873,7.818941738561143,1.065158742384338,-0.01722879126823007,A3_no_grid,panel2_common_period,all_features,11,7,0.8828928470611572,A3_no_grid
ridge,6493.510002455536,0.893930025451327,0.9683219855892354,0.0009448292474650399,1057.3922996488332,7685.590487858247,6834.130112368103,7944.9166829972155,6.737800312353228,6.568899294743094,0.9683219855892354,-0.018424430828411165,5369.46278689929,6812.152958780138,5.39345141583101,5.259947350181354,0.7243292107566607,0.22089299796736916,7328.030551008487,7953.24853360682,7.238222957097504,7.079484510457784,0.9623513471485554,0.15738471208982474,A3_CI_mean_only,panel2_common_period,all_features,12,7,0.002597808837890625,A3_CI_mean_only
random_forest,5160.1426524012,0.7128498363399914,0.8100707771439632,0.0006779704611590501,1473.990515501829,7149.108173069402,5717.239899143868,6748.012557826491,5.597038889203881,5.397538332247388,0.8100707771439632,0.26531380588817854,5193.933168412417,7301.580968998847,5.144150753577099,4.933785792734972,0.7006506352512636,0.10491941572965746,3716.713761527708,4185.788428024312,3.5894351782535776,3.574575554075891,0.4880962859631536,0.7666032671857124,A3_CI_mean_only,panel2_common_period,all_features,12,7,0.23541951179504395,A3_CI_mean_only
catboost,5322.197017171575,0.7316383150974125,0.7414931362000534,0.0016940562325862903,589.2991770664631,6084.3246044475345,5173.493663289543,5921.040470383139,5.067153683481234,4.93359573160455,0.7330278432076811,0.4343521071826669,5496.699211410096,6871.6005010395875,5.357211698138155,5.265458997394229,0.7414931362000534,0.2072356155320625,5432.202110518872,6400.545845027007,5.354087140880305,5.234908693193248,0.7133822631677792,0.4542744948133065,A3_CI_mean_only,panel2_common_period,all_features,12,7,0.043163299560546875,A3_CI_mean_only
lightgbm,4329.413470498119,0.5979271362673391,0.6821585481898025,0.0007183935064090886,1390.994764817029,7397.417820289212,4814.473227886465,6757.414696701722,4.775796673569415,4.55701012546611,0.6821585481898025,0.2632650741082099,4121.9628927743415,4980.9912873109315,4.014745078267254,4.001309043546539,0.5560441048545961,0.5834569528706346,3427.939943612919,3902.5439512862267,3.3719272308807993,3.340054183789835,0.45017315358029475,0.7971215902342533,A3_CI_mean_only,panel2_common_period,all_features,12,7,0.16222071647644043,A3_CI_mean_only
lstm,7372.33103870736,1.0129373622984756,1.0781489858098958,0.001177901844598796,847.9671737806041,8348.836458333293,7154.0647727272435,8193.446138141524,7.053059490535003,6.873012911869089,1.0136532509418101,-0.08313682344510953,7177.7978515624745,8253.217339371637,7.215616176083686,6.9839479858188085,0.9682697988853044,-0.1436019557500008,8209.796484374976,8900.63654463301,8.041918096849857,7.913152077632263,1.0781489858098958,-0.05531560585997419,A3_CI_mean_only,panel2_common_period,all_features,12,7,1.0269052982330322,A3_CI_mean_only
ridge,6474.514667821893,0.8912495979233568,0.9597845829552798,0.0009968567973343376,1002.1531135405481,7515.032364470171,6773.875650225924,7968.069567396057,6.7074263009102495,6.514754477631011,0.9597845829552798,-0.024368815498309937,5487.35981121515,7032.272627502626,5.559208941901215,5.384028961574075,0.7402332708018519,0.16972927751321876,7206.844496721935,7810.270404292748,7.08603382204813,6.960254061672017,0.9464366260258068,0.1874083289801497,A3_CI_p90_only,panel2_common_period,all_features,12,7,0.002557516098022461,A3_CI_p90_only
random_forest,5502.159359272653,0.7595011040365722,0.8566979928266527,0.0006845433638452605,1459.8278347521134,7216.469893529484,6046.320993547652,7209.677685191042,5.911629008842916,5.6787029691419955,0.8566979928266527,0.1613479480770016,5222.533146610809,7303.412970500518,5.198925291611343,4.97093207907269,0.7045087120195098,0.10447019940324787,4561.194592577924,5239.3222961384035,4.437890472287123,4.423151472139521,0.5989974700869649,0.6343290534423471,A3_CI_p90_only,panel2_common_period,all_features,12,7,0.306560754776001,A3_CI_p90_only
catboost,5284.490997074899,0.7253966123589056,0.7953792909326288,0.0008410718239019697,1187.9591014483372,6497.894591400658,4964.686462633882,5815.0579251973795,4.838385727617752,4.695155245043911,0.7034421315194735,0.4544202970615835,5302.768519709201,6331.506168415414,5.251932113976579,5.153488193737973,0.7153322947088101,0.3269576470703335,6056.5860492259835,6849.14131151473,5.9031351140737485,5.841757908751852,0.7953792909326288,0.3750971870192036,A3_CI_p90_only,panel2_common_period,all_features,12,7,0.042018890380859375,A3_CI_p90_only
lightgbm,4487.187098406934,0.6213794625473268,0.7907783247550633,0.0005324758648808473,1877.0193919658145,8648.734919520712,5581.07947753351,7668.118126265479,5.47553377263068,5.197226866841839,0.7907783247550633,0.051302614733050755,2965.231134348498,4208.345237322259,2.866234564380203,2.8858673996569664,0.40000342911288145,0.702661568154137,4035.3900966781493,4247.47206030387,3.8999166210755094,3.9039425344447203,0.5299463571796534,0.7596737068437884,A3_CI_p90_only,panel2_common_period,all_features,12,7,0.17097878456115723,A3_CI_p90_only
lstm,7363.422329545428,1.0116797400495967,1.078982974545286,0.0011698903006315295,853.7809990904109,8333.023958333293,7138.9518465908795,8177.8944012713355,7.038146885149477,6.858830855882343,1.0115119135069341,-0.07902898593316743,7169.0566406249745,8223.9406249005,7.2025012747342325,6.9756275190882695,0.9670906279569081,-0.13550292649023188,8216.147070312476,8906.11657908767,8.047681873675353,7.919224171090278,1.078982974545286,-0.05661550079913824,A3_CI_p90_only,panel2_common_period,all_features,12,7,0.8638596534729004,A3_CI_p90_only
ridge,6346.391059988968,0.8748639990200316,0.9846129675294941,0.000825546027127205,1210.3194990228135,8053.324891198827,6949.107043486959,8306.132085560454,6.931437924905505,6.680708704335577,0.9846129675294941,-0.11313485223389708,5050.875632501826,6530.109488808151,5.109163963224549,4.96061447167802,0.6813524752320284,0.28407215889988047,6782.874242474703,7326.057331522273,6.7237285274080625,6.563939305103816,0.8907588634283804,0.28504146949282294,A3_CI_std_only,panel2_common_period,all_features,12,7,0.002471923828125,A3_CI_std_only
random_forest,5731.899433395447,0.7917505085386647,0.9177441376198726,0.0007310967167311438,1366.8080849154512,7324.609262386464,6477.166624013697,7673.81088084011,6.308904640708239,6.046688448277053,0.9177441376198726,0.04989347992018678,5078.985393553659,6753.010825835039,5.014938417840036,4.81949641573204,0.6851444227406153,0.23436246310324083,4848.102516612502,5832.769361949839,4.80390777098304,4.656849875372608,0.6366755645327193,0.54680006981456,A3_CI_std_only,panel2_common_period,all_features,12,7,0.3155083656311035,A3_CI_std_only
catboost,5562.736450545743,0.7672863540163338,0.853030023816374,0.0007780839112813786,1284.2084273959108,7114.46724437856,6020.433553380603,7334.333216250238,5.954787651170397,5.698874033837178,0.853030023816374,0.13209660178609273,5189.0772971642855,6153.679965849121,5.08852853455925,4.980155506792117,0.6999955884564005,0.36423277144840494,4978.982423530779,5799.889406410212,4.9851024212103425,4.829024892595194,0.6538633278561334,0.5518951431179144,A3_CI_std_only,panel2_common_period,all_features,12,7,0.03416705131530762,A3_CI_std_only
lightgbm,4784.502325884333,0.6618980048033246,0.7965229322451983,0.0005802260052346716,1722.4663578988525,8256.701636957683,5621.623217752501,7473.082616000041,5.58745453617348,5.31726332878609,0.7965229322451983,0.09894835982144667,4144.011009847367,4564.349128167947,4.052287648125009,4.016913347054427,0.5590183493688033,0.6502271963620601,3652.4370702693614,4489.020755645664,3.603799303704432,3.5226246979080105,0.4796551693504221,0.7315623345662852,A3_CI_std_only,panel2_common_period,all_features,12,7,0.14731907844543457,A3_CI_std_only
lstm,7367.7792720170255,1.0123346012401881,1.079301026531103,0.0011539497806920887,865.5888383810287,8363.406770833293,7159.227840909076,8211.685784810883,7.061215185207227,6.877930395300455,1.014384801607566,-0.08796459001216994,7148.1718749999745,8220.449472432609,7.183621181518507,6.955813594109025,0.9642733171006149,-0.13453906437135554,8218.568945312476,8927.525175123435,8.043184015626881,7.921580071555431,1.079301026531103,-0.0617014082376679,A3_CI_std_only,panel2_common_period,all_features,12,7,0.9859757423400879,A3_CI_std_only
ridge,6752.451621434698,0.9291782003055544,1.004486551575722,0.000876860817345806,1139.4318453034855,8184.276684691729,6995.157144025681,8355.891475420029,6.979360233922906,6.723248811784352,0.9911377664515311,-0.1265116729158302,5750.324768678509,6890.350689887372,5.784225092319139,5.624377425475383,0.7757066892154817,0.20290336079797477,7648.878094091524,8396.769987543392,7.609452050123849,7.384754997433967,1.004486551575722,0.060785606001400594,A3_CI_highshare_only,panel2_common_period,all_features,12,7,0.0025174617767333984,A3_CI_highshare_only
random_forest,5466.947183535125,0.7557524846021033,0.9010501525869353,0.000811351405896046,1231.5115760360493,7418.652337743595,6359.345416288465,7510.738227594679,6.192959565472318,5.9425708331053935,0.9010501525869353,0.08984498568516275,4526.095570122663,6782.0456325139185,4.516311827683407,4.372789216172582,0.6105607510894657,0.22776453868913138,4647.229021770474,5148.621761548163,4.627603593275018,4.5186989071382815,0.6102959149089796,0.6468800923322323,A3_CI_highshare_only,panel2_common_period,all_features,12,7,0.3124210834503174,A3_CI_highshare_only
catboost,5147.268442112543,0.7089569107480813,0.7791313932818839,0.0010516931015620496,949.847731638373,6597.301554513961,5498.878880746371,6544.4532501580925,5.411274296678483,5.220521312345736,0.7791313932818839,0.30897007637282514,4195.175476852064,5424.675648608316,4.161770158245291,4.124747820309872,0.5659203281095292,0.5059443416149162,5696.381793418695,6446.95823749897,5.729395691884572,5.541462933918376,0.748075578371403,0.4463313414700083,A3_CI_highshare_only,panel2_common_period,all_features,12,7,0.03904414176940918,A3_CI_highshare_only
