model,weighted_mae,weighted_mase,worst_horizon_mase,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,smape_h1,mase_h1,r2_h1,mae_h2,rmse_h2,mape_h2,smape_h2,mase_h2,r2_h2,mae_h4,rmse_h4,mape_h4,smape_h4,mase_h4,r2_h4,configuration,panel,fs_option,n_features,n_folds,total_runtime_seconds,variant
ridge,6079.641231147357,0.8393501161305349,0.9947351065967158,0.00063970233955343,1562.2270482207246,8610.849444051244,7020.546106557269,8433.836490291342,6.727948940503024,6.71402151862809,0.9947351065967158,-0.14762623693654597,4254.897314766353,5660.982473707118,4.185075971314984,4.1748484222077895,0.5739766781464337,0.46196324317409365,6464.494917194084,7193.709386740903,6.43838961236338,6.266470998566807,0.8489477969412346,0.3106401197428482,A3_full,panel2_common_period,all_features,23,7,0.0050928592681884766,A3_full
random_forest,4991.180361735778,0.6866200008613669,0.7207237348425514,0.0008577951116844857,1164.7795508256756,6721.605075260457,4906.694773465988,5622.19283215753,4.878336941571864,4.753922963532116,0.6952253392314394,0.4900100840491166,5342.7353424411995,6573.593528627645,5.098629437781929,5.212890744586278,0.7207237348425514,0.27450567704749707,4675.061861352124,5964.180240709294,4.6987507028963,4.5409242485141155,0.613951053964409,0.5261490611044615,A3_full,panel2_common_period,all_features,23,7,0.5945339202880859,A3_full
catboost,4508.633973549254,0.6209418987287766,0.6597707109288694,0.0007859644484903225,1271.3221793565806,6895.908268337512,4656.4664955673215,5404.182331643232,4.53060972951962,4.46110758991267,0.6597707109288694,0.5287947710988758,4399.502349274406,5303.152821372774,4.20036707586905,4.254132623802167,0.5934835924642333,0.527831934960467,4302.750104916358,4983.875610782592,4.284774118359796,4.182905824056086,0.5650573276253594,0.669116877603328,A3_full,panel2_common_period,all_features,23,7,7.961992025375366,A3_full
lightgbm,3326.032555280771,0.4554485081632678,0.6088105616626449,0.0006301815645497287,1585.8442624380964,5801.724793985748,2666.8914375879117,4821.09040067221,2.687874250045382,2.576053569530846,0.3778695415123174,0.6249918859056469,4513.121390898934,5712.59971333598,4.316077475101275,4.398283756869542,0.6088105616626449,0.4521067966149416,3193.2520960856746,3659.640133254775,3.0622955547247352,3.075544414363912,0.4193528445415781,0.8215909052812516,A3_full,panel2_common_period,all_features,23,7,0.0831763744354248,A3_full
lstm,8198.776056463079,1.1191426775786937,1.3773124562485182,0.00026413599328496066,3784.928557344168,15130.948828124987,6077.738636363639,7356.298163311121,5.717519212178927,5.766045696870991,0.8611495314678402,0.12689040311531508,10210.036914062519,11557.380729333423,10.30216420123846,9.665291044374912,1.3773124562485182,-1.2425759796599363,10484.478320312519,13555.030384653808,9.697277142090922,10.40937508029119,1.3768708748510907,-1.4476043543366037,A3_full,panel2_common_period,all_features,23,7,0.7517538070678711,A3_full
ridge,6573.526634870334,0.9051731374752952,0.9852244988483997,0.0009496486352731576,1052.0210467920688,8030.832139472361,6953.423050624446,8323.171788433923,6.937919673849261,6.685131358775393,0.9852244988483997,-0.1177066414785286,5478.375399039043,6971.94738414116,5.543156135584841,5.374451759116225,0.7390212925390525,0.18391287288390779,7266.512449231992,7857.207414481465,7.198275389028433,7.023073928766996,0.9542725014468976,0.17761219452990573,A3_no_grid,panel2_common_period,all_features,11,7,0.005171537399291992,A3_no_grid
random_forest,5289.458892193055,0.7316139969833925,0.8532087285449598,0.0005885184913379287,1698.1819538696495,7232.194806657841,6021.694798488146,7300.192367722495,5.869241314566252,5.629389401592433,0.8532087285449598,0.14015786447551604,5384.231725385105,7432.516817653384,5.349222582272148,5.136779115913309,0.7263215094244612,0.07252945355746321,3316.7098766672534,3766.7016161589277,3.212579850563371,3.1873774101846912,0.43556589941787127,0.810999626203888,A3_no_grid,panel2_common_period,all_features,11,7,0.7179014682769775,A3_no_grid
catboost,4775.425110654618,0.6567384856747441,0.6748270603166995,0.0010695194982695566,933.9993166257963,6397.909011149692,4762.729755376599,6578.394470989069,4.712590278377501,4.508329200003883,0.6748270603166995,0.30178377107925836,4595.0725643718615,5763.128825536689,4.546822541156508,4.484336338856493,0.619865602205445,0.4423714759809828,5077.6923182737955,5579.996514839841,4.9783876789155235,4.918631216875557,0.6668263742738044,0.585229288484476,A3_no_grid,panel2_common_period,all_features,11,7,5.394911050796509,A3_no_grid
lightgbm,4595.291197915446,0.6370806403789584,0.8009784247417606,0.0005616621266873765,1779.4298215688739,8256.701636957683,5653.068765710041,7497.637847404384,5.621104156437489,5.34897379991149,0.8009784247417606,0.09301723796244299,4020.6581764788552,4814.304962936433,3.916723194033109,3.8984964810766756,0.5423783121836293,0.6108692777934726,2812.7968105838445,3307.4922676673345,2.80485150558234,2.7594402732399868,0.3693896717649462,0.8542737123697881,A3_no_grid,panel2_common_period,all_features,11,7,0.04316902160644531,A3_no_grid
lstm,7423.741452414746,1.0201003381189613,1.0650612748402974,0.0012692369103239165,786.8749757953339,8403.115104166625,7200.182670454516,8163.333311171993,7.089933651305645,6.916380884646099,1.020187655988863,-0.07518989246624042,7338.7421874999745,8550.566980785981,7.409228996425088,7.135401920227366,0.9899808505215676,-0.22749053579601086,8110.137304687476,8742.901937596733,7.922546962202229,7.818178597810404,1.0650612748402974,-0.01824301796708183,A3_no_grid,panel2_common_period,all_features,11,7,2.764981508255005,A3_no_grid
ridge,6284.902776245313,0.8671381397779176,1.00515102233376,0.0007792683909889296,1282.2549241872255,8481.45794104712,7094.058558454256,8420.800020517298,6.8731364992023165,6.791886461601273,1.00515102233376,-0.14408112863237976,4675.768145366892,6084.950023219727,4.596697459601725,4.569913776691458,0.6307512659698518,0.3783551260430468,6675.7152670405885,7357.930899555349,6.679064269797373,6.476798690867564,0.8766862441004101,0.2788067784568151,A3_no_CI,panel2_common_period,all_features,18,7,0.005688905715942383,A3_no_CI
