mobility_scenario,configuration,best_model,weighted_mase,mase_h1,mase_h2,mase_h4,worst_horizon_mase,error_std,config_rank_among_A1_A4,a3_minus_this_config_weighted_mase,n_cells_in_scenario
M0,A1,catboost,0.6294096386011814,0.6768608193313876,0.5561574910026015,0.6206599081735351,0.6768608193313876,1092.6703754956577,3,-0.17529762153830186,20
M0,A2,lstm,0.7103405382870454,0.7109036605656429,0.6726829344892489,0.7654191382872457,0.7654191382872457,1880.464412018914,4,-0.25622852122416584,20
M0,A3,lightgbm,0.4541120170628795,0.3762793997352335,0.5751086612925513,0.4671985940374868,0.5751086612925513,1610.8713182670465,1,,20
M0,A4,catboost,0.6147095126058257,0.7189085281744806,0.515463835657637,0.5030804891064716,0.7189085281744806,904.8216700024684,2,-0.16059749554294622,20
M1,A1,catboost,0.5635493014196867,0.6397733996929955,0.4967664639382517,0.4731633119585671,0.6397733996929955,1256.0906465114874,3,-0.08996113765321911,20
M1,A2,lstm,0.5406113401031603,0.5606819814731809,0.4315304257678597,0.6540561081810592,0.6540561081810592,947.5051199281132,2,-0.06702317633669264,20
M1,A3,lightgbm,0.4735881637664676,0.4935015680394268,0.4736852303089494,0.423659053270347,0.4935015680394268,1111.3898585370707,1,,20
M1,A4,catboost,0.600657618126648,0.6316797173232211,0.5632106396001199,0.5792728379250073,0.6316797173232211,482.5886232414448,4,-0.12706945436018036,20
M2,A1,lightgbm,0.6370806403789584,0.8009784247417606,0.5423783121836293,0.3693896717649462,0.8009784247417606,1779.429821568874,4,-0.18163213221569058,20
M2,A2,lstm,0.5385332396031995,0.538756292218599,0.5078382374940034,0.5840181112284955,0.5840181112284955,1367.3730272761725,2,-0.08308473143993172,20
M2,A3,lightgbm,0.4554485081632678,0.3778695415123174,0.6088105616626449,0.4193528445415781,0.6088105616626449,1585.8442624380964,1,,20
M2,A4,catboost,0.6172755605616977,0.6909899370286666,0.5275884111138882,0.5675203435659898,0.6909899370286666,800.7703933461639,3,-0.16182705239842993,20
M3,A1,lightgbm,0.5617382170023955,0.58146194233755,0.6172394148546524,0.4291771068861238,0.6172394148546524,580.1321364983442,4,-0.2744200686038442,20
M3,A2,lstm,0.46603692532893326,0.26470198747917106,0.5919638024293078,0.7804839543027771,0.7804839543027771,1710.3500084544053,2,-0.17871877693038202,20
M3,A3,lightgbm,0.28731814839855124,0.10953647095401246,0.4902302954069124,0.42740412149735635,0.4902302954069124,1297.7726675797005,1,,20
M3,A4,random_forest,0.47525079030728523,0.49187760992230517,0.3890249967761685,0.5630224315664106,0.5630224315664106,615.5056756608722,3,-0.187932641908734,20
