family,sum,mean,count,share_of_total,regime
grid_exogenous,0.1340391282167337,0.013403912821673369,10,0.6901268603872204,pre_covid
raw_exogenous,0.052634297951843864,0.010526859590368772,5,0.2709980531614403,pre_covid
mobility_exogenous,0.007196641758577366,0.0011994402930962276,6,0.037053327996492615,pre_covid
owid_exogenous,0.0003538290264084172,0.0001769145132042086,2,0.001821758454846643,pre_covid
grid_exogenous,0.12141259513060705,0.012141259513060705,10,0.6113655214843517,covid
raw_exogenous,0.05585689889992364,0.011171379779984728,5,0.2812639173696557,covid
mobility_exogenous,0.020522776519156922,0.00342046275319282,6,0.10334115628979099,covid
owid_exogenous,0.0008002095035315803,0.00040010475176579017,2,0.004029404856201699,covid
grid_exogenous,0.12285936305680516,0.012285936305680516,10,0.6767875283337557,post_covid
raw_exogenous,0.051585913165854376,0.010317182633170875,5,0.2841680259421182,post_covid
mobility_exogenous,0.005368590753382366,0.0008947651255637278,6,0.02957361308260383,post_covid
owid_exogenous,0.001719269958800459,0.0008596349794002295,2,0.009470832641522391,post_covid
