feature,n_regimes,n_regimes_in_top_k,regime_stability
Grid_CI_std,3,3,1.0
Grid_CI_p90,3,3,1.0
COVID_Deaths,3,3,1.0
Grid_CI_mean,3,2,0.6666666666666666
Population,3,2,0.6666666666666666
Mobility_Workplaces,3,1,0.3333333333333333
GDP,3,1,0.3333333333333333
Grid_wind_share,3,0,0.0
Air_Temp,3,0,0.0
Grid_low_carbon_share,3,0,0.0
Grid_renewable_share,3,0,0.0
Grid_CI_low_share,3,0,0.0
Grid_CI_high_share,3,0,0.0
Rainfall,3,0,0.0
Mobility_Retail_Recreation,3,0,0.0
Grid_fossil_share,3,0,0.0
OWID_RenewableShare_L1Y,3,0,0.0
Mobility_Parks,3,0,0.0
Grid_gas_share,3,0,0.0
Mobility_Residential,3,0,0.0
Mobility_Grocery_Pharmacy,3,0,0.0
Mobility_Transit_Stations,3,0,0.0
OWID_LowCarbonShare_L1Y,3,0,0.0
