feature,ridge_rank,random_forest_rank,lightgbm_rank,catboost_rank,lstm_rank,average_rank,rank_dispersion,n_models_scored
Grid_CI_std,1,1,1,1,3,1.4,0.8944271909999159,5
Grid_CI_p90,2,2,3,2,10,3.8,3.492849839314596,5
Population,9,3,5,3,4,4.8,2.4899799195977463,5
Air_Temp,4,13,7,5,1,6.0,4.47213595499958,5
Grid_CI_mean,6,8,2,8,7,6.2,2.4899799195977463,5
Rainfall,3,4,14,4,11,7.2,4.969909455915671,5
COVID_Deaths,19,14,4,6,2,9.0,7.211102550927978,5
Mobility_Parks,5,7,18,18,8,11.2,6.300793600809346,5
Mobility_Workplaces,8,17,8,10,13,11.2,3.8340579025361627,5
GDP,7,19,6,7,18,11.4,6.5038450166036395,5
Grid_CI_low_share,15,10,12,11,15,12.6,2.3021728866442674,5
Grid_wind_share,16,18,9,14,9,13.2,4.08656334834051,5
OWID_RenewableShare_L1Y,12,6,15,13,21,13.4,5.412947441089743,5
Grid_CI_high_share,13,15,13,9,23,14.6,5.176871642217914,5
OWID_LowCarbonShare_L1Y,20,5,21,12,16,14.8,6.534523701081817,5
Grid_low_carbon_share,22,21,10,17,5,15.0,7.314369419163897,5
Grid_renewable_share,23,9,11,19,17,15.8,5.761944116355173,5
Grid_fossil_share,18,12,16,20,14,16.0,3.1622776601683795,5
Mobility_Residential,10,11,20,23,19,16.6,5.770615218501403,5
Mobility_Retail_Recreation,11,23,17,15,20,17.2,4.604345773288536,5
Mobility_Transit_Stations,14,20,21,21,12,17.6,4.277849927241488,5
Grid_gas_share,21,22,19,22,6,18.0,6.819090848492928,5
Mobility_Grocery_Pharmacy,17,16,21,16,22,18.4,2.8809720581775866,5
