feature,importance,importance_normalized,regime,n_samples
Population,0.0644262344273974,0.41084178129747956,pre_covid,7
Rainfall,0.03714390407814032,0.23686418819033792,pre_covid,7
Air_Temp,0.028258886003296086,0.1802050230975385,pre_covid,7
COVID_Deaths,0.01165679441819841,0.07433459716457644,pre_covid,7
GDP,0.011178924609307429,0.07128725340379369,pre_covid,7
Mobility_Parks,0.004150452386365421,0.026467156846273997,pre_covid,7
Rainfall,0.04959695092435904,0.38461586164118483,covid,8
Air_Temp,0.025763231227955746,0.19978944658339068,covid,8
GDP,0.020583816736182595,0.15962397410125514,covid,8
Population,0.015428323396329916,0.11964400605610351,covid,8
COVID_Deaths,0.011147509428093007,0.08644702676134586,covid,8
Mobility_Parks,0.0064320807556011925,0.04987968485671998,covid,8
Rainfall,0.035718779701145,0.30853892404140804,post_covid,13
Population,0.03302220531033459,0.28524590652794607,post_covid,13
Air_Temp,0.024907077104612117,0.21514740523532128,post_covid,13
GDP,0.011354681031189333,0.09808176812054524,post_covid,13
COVID_Deaths,0.008914336162197863,0.07700206196965279,post_covid,13
Mobility_Parks,0.0018504200817852426,0.015983934105126534,post_covid,13
