feature,importance,importance_normalized,regime,n_samples
Grid_CI_std,0.047215145424223115,0.24309647867642,pre_covid,7
Grid_CI_mean,0.02943039575779197,0.15152819101775322,pre_covid,7
Grid_CI_p90,0.025257322467922734,0.1300423009943079,pre_covid,7
Population,0.017126198046162937,0.08817760489203658,pre_covid,7
COVID_Deaths,0.014216203512990208,0.07319492470274723,pre_covid,7
Air_Temp,0.01117585930129986,0.057541113511752236,pre_covid,7
Grid_wind_share,0.009854827745153822,0.05073952227160798,pre_covid,7
Grid_low_carbon_share,0.008554700336641545,0.044045560154149684,pre_covid,7
GDP,0.008393479701426008,0.04321548394960271,pre_covid,7
Grid_renewable_share,0.006376475510269086,0.03283054047563275,pre_covid,7
Mobility_Workplaces,0.006294510793176912,0.032408528980766224,pre_covid,7
Grid_CI_low_share,0.004180640824752508,0.021524852967768685,pre_covid,7
Grid_CI_high_share,0.002566568623228201,0.013214484229208092,pre_covid,7
Rainfall,0.0017225573899648488,0.008868926105301512,pre_covid,7
Mobility_Retail_Recreation,0.0005991203469326588,0.0030846891465466856,pre_covid,7
Grid_fossil_share,0.0005695616660261339,0.0029325004541655825,pre_covid,7
OWID_RenewableShare_L1Y,0.0003538290264084172,0.0018217584548466427,pre_covid,7
Mobility_Parks,0.00030092725834748315,0.001549383279130844,pre_covid,7
Grid_gas_share,3.348986072456952e-05,0.0001724291462063319,pre_covid,7
Mobility_Residential,2.083360120312185e-06,1.0726590048856304e-05,pre_covid,7
Mobility_Grocery_Pharmacy,0.0,0.0,pre_covid,7
Mobility_Transit_Stations,0.0,0.0,pre_covid,7
OWID_LowCarbonShare_L1Y,0.0,0.0,pre_covid,7
Grid_CI_std,0.06290547289889373,0.31675657045038264,covid,8
GDP,0.020341836304717174,0.10243004316812969,covid,8
Mobility_Workplaces,0.018705886978914742,0.09419232276016648,covid,8
Grid_CI_p90,0.016691725847703474,0.084050140484828,covid,8
COVID_Deaths,0.013188463762160093,0.06640968358230798,covid,8
Population,0.01234029783540834,0.06213879715939579,covid,8
Grid_CI_mean,0.010823264989974917,0.05449987324330951,covid,8
Grid_wind_share,0.00979767316466183,0.0493355698163205,covid,8
Air_Temp,0.008338434636262812,0.04198766556532384,covid,8
Grid_low_carbon_share,0.007072035369333784,0.03561079134234391,covid,8
Grid_renewable_share,0.005279424965175827,0.026584213882424133,covid,8
Grid_CI_low_share,0.0050307027039378695,0.02533178850775081,covid,8
Grid_CI_high_share,0.0031575144501589094,0.0158994663308135,covid,8
Rainfall,0.0016478663613752223,0.008297727894498444,covid,8
Mobility_Retail_Recreation,0.001232649310985876,0.006206928432816532,covid,8
OWID_RenewableShare_L1Y,0.0008002095035315803,0.004029404856201699,covid,8
Grid_fossil_share,0.0006330123312957409,0.003187493963145559,covid,8
Mobility_Parks,0.0005795445308601326,0.0029182602015183317,covid,8
Grid_gas_share,2.176840947097019e-05,0.0001096134630331252,covid,8
Mobility_Residential,4.695698396172386e-06,2.3644895289660637e-05,covid,8
Mobility_Grocery_Pharmacy,0.0,0.0,covid,8
Mobility_Transit_Stations,0.0,0.0,covid,8
OWID_LowCarbonShare_L1Y,0.0,0.0,covid,8
Grid_CI_std,0.0656762955995671,0.3617868159417103,post_covid,13
Grid_CI_mean,0.021767658649181884,0.11991011127073149,post_covid,13
COVID_Deaths,0.014468940140797306,0.07970412666856871,post_covid,13
Grid_CI_p90,0.012873736081738592,0.07091672792697544,post_covid,13
Population,0.012521255932351906,0.06897504303495927,post_covid,13
Air_Temp,0.012499755243681226,0.06885660356416229,post_covid,13
GDP,0.010752427763189075,0.05923121224445342,post_covid,13
Grid_CI_low_share,0.005081948435274455,0.027994604847810883,post_covid,13
Grid_renewable_share,0.004650343177051295,0.025617048521121746,post_covid,13
Grid_wind_share,0.0046160499015111345,0.02542813934388173,post_covid,13
Mobility_Workplaces,0.00427329730647767,0.023540040009397755,post_covid,13
Grid_low_carbon_share,0.0037360647346681816,0.02058062124497505,post_covid,13
Grid_CI_high_share,0.0029357250936387835,0.016171841368512806,post_covid,13
OWID_RenewableShare_L1Y,0.001719269958800459,0.009470832641522391,post_covid,13
Grid_fossil_share,0.0015096911257634973,0.008316339106206105,post_covid,13
Rainfall,0.0013435340858348617,0.00740104042997448,post_covid,13
Mobility_Retail_Recreation,0.0007971478634357108,0.004391197535036432,post_covid,13
Mobility_Parks,0.0002971089114860414,0.0016366648894118028,post_covid,13
Grid_gas_share,1.1850258410232292e-05,6.527876183005476e-05,post_covid,13
Mobility_Residential,1.0366719829438037e-06,5.710648757840262e-06,post_covid,13
Mobility_Grocery_Pharmacy,0.0,0.0,post_covid,13
Mobility_Transit_Stations,0.0,0.0,post_covid,13
OWID_LowCarbonShare_L1Y,0.0,0.0,post_covid,13
