model,weighted_mae,weighted_mase,worst_horizon_mase,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,smape_h1,mase_h1,r2_h1,mae_h2,rmse_h2,mape_h2,smape_h2,mase_h2,r2_h2,mae_h4,rmse_h4,mape_h4,smape_h4,mase_h4,r2_h4,configuration,panel,fs_option,n_features,n_folds,total_runtime_seconds
ridge,6390.417170720191,0.8796317971671495,0.9510382890911324,0.000937770321693,1065.359189310495,7570.075800238406,6700.786106073259,7880.821771261988,6.645242823614826,6.449774271406635,0.9494285886508056,-0.0020586152680208,5305.49049480953,6661.811754008598,5.34921578515856,5.208035000160017,0.7156994834117341,0.2549026162376776,7241.884846203513,7838.065252147403,7.156271017773615,6.9980110831590405,0.9510382890911324,0.1816144064959919,A1,panel2_common_period,fs_linear,6,7,0.0052449703216552
random_forest,5153.599075199124,0.7113986869693464,0.7817008041150749,0.0006716645828532,1487.8383659474478,7634.582977997732,5517.013022289661,6749.488365559261,5.428900054975088,5.215625709580811,0.7817008041150749,0.264992415220369,5609.810545133274,7409.821858101384,5.542020501908835,5.341032173060988,0.756751616672856,0.0781848112138818,3560.747002571556,3899.273327163198,3.475320544740776,3.44571787053451,0.4676139995497609,0.7974615023436887,A1,panel2_common_period,fs_linear,6,7,1.7479631900787354
lightgbm,5699.126558396594,0.7880111458925376,0.9350450072072476,0.0002866091143004,3488.0725734273874,11782.48968954638,6599.271043387471,10202.121244514989,6.414081659834579,5.985054457142544,0.9350450072072476,-0.6793107789360937,5015.3196096133415,6649.099863566888,4.7229225118593225,4.803979476085144,0.6765560426989082,0.257743452916116,4474.475769094284,6144.988369123216,4.401428590330863,4.539434711422135,0.5876091473962068,0.4969833544464793,A1,panel2_common_period,fs_linear,6,7,0.2021286487579345
catboost,4756.465527903775,0.6548666323253567,0.6967684655693338,0.0010167466700026,982.5291616911976,6445.865937000296,4917.585702650639,6648.300530675072,4.8477509052266825,4.652951594300731,0.6967684655693338,0.2868655761636112,4422.967380962858,5578.096040708828,4.367798813790413,4.364720301745903,0.5966489757731084,0.4776034496067612,4853.912311447988,5252.7931424451335,4.730943025012298,4.680267775619611,0.6374385340437864,0.6324462795491557,A1,panel2_common_period,fs_linear,6,7,12.460653066635132
lstm,7455.677780539745,1.024637166612259,1.080424981210014,0.0011085417960031,901.0859687975138,8771.02656249996,7292.151420454516,8046.148901161906,7.115087814113265,7.0044069197272645,1.0332186286434502,-0.0445428129886864,7213.9218749999745,8105.275904805488,7.210985779641138,7.018351588169788,0.9731428534951024,-0.1029705872301678,8227.127539062476,8819.63855616586,7.965426776327228,7.930498597441216,1.080424981210014,-0.0361957365351663,A1,panel2_common_period,fs_linear,6,7,2.4600303173065186
ridge,6573.526634870334,0.9051731374752952,0.9852244988483996,0.0009496486352731,1052.0210467920688,8030.832139472361,6953.423050624446,8323.171788433923,6.937919673849261,6.685131358775393,0.9852244988483996,-0.1177066414785286,5478.375399039043,6971.94738414116,5.543156135584841,5.374451759116225,0.7390212925390525,0.1839128728839077,7266.512449231992,7857.207414481465,7.198275389028433,7.023073928766996,0.9542725014468976,0.1776121945299057,A1,panel2_common_period,fs_wrapper,11,7,0.0056755542755126
random_forest,5405.2457604164965,0.7471041069090252,0.8510977178748461,0.0005857860735895,1706.107842069763,7778.534790660164,6006.795909685807,7260.562128849509,5.8690819695722105,5.631082620682845,0.8510977178748461,0.1494681003538013,5721.59925106314,7915.278962944069,5.685343585328853,5.440289179905348,0.771831677444531,-0.0518668701698248,3426.840151273253,3887.9211075723615,3.3266532689172346,3.307670367219076,0.4500287236912141,0.7986391138164824,A1,panel2_common_period,fs_wrapper,11,7,1.1883282661437988
lightgbm,5511.743729441693,0.7610224286063254,0.8538128944821005,0.0003728027922414,2681.3833426450115,9276.791966358112,6025.958822940062,8571.87339541367,5.955020931698456,5.666065191427321,0.8538128944821005,-0.185500142677782,5565.998674041884,7071.469345536687,5.317502395244853,5.439052358996407,0.7508414876210585,0.1604479011395289,4144.823578795482,5998.9035329396975,3.990565907924579,4.098441106119639,0.5443176753947881,0.5206155056621784,A1,panel2_common_period,fs_wrapper,11,7,0.2430083751678466
catboost,4570.612314064898,0.6294096386011814,0.6768608193313876,0.0009143522787172,1092.6703754956577,6744.432780235399,4777.08342484856,6842.62335081305,4.7445141636370805,4.520977627054931,0.6768608193313876,0.2445679873372508,4122.803425909307,5156.290910474065,4.075713162609401,4.024884233497558,0.5561574910026015,0.5536216229648887,4726.147869339131,5339.112903687713,4.636437373048913,4.5653726743172784,0.6206599081735351,0.6202669164958137,A1,panel2_common_period,fs_wrapper,11,7,17.632507801055908
lstm,7423.741452414746,1.0201003381189613,1.0650612748402974,0.0012692369103239,786.8749757953339,8403.115104166625,7200.182670454516,8163.333311171993,7.089933651305645,6.916380884646099,1.020187655988863,-0.0751898924662404,7338.7421874999745,8550.566980785981,7.409228996425088,7.135401920227366,0.9899808505215676,-0.2274905357960108,8110.137304687476,8742.901937596733,7.922546962202229,7.818178597810404,1.0650612748402974,-0.0182430179670818,A1,panel2_common_period,fs_wrapper,11,7,3.82257342338562
