model,weighted_mae,weighted_mase,worst_horizon_mase,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,smape_h1,mase_h1,r2_h1,mae_h2,rmse_h2,mape_h2,smape_h2,mase_h2,r2_h2,mae_h4,rmse_h4,mape_h4,smape_h4,mase_h4,r2_h4,configuration,panel,fs_option,n_features,n_folds,total_runtime_seconds
ridge,6604.2586347844335,0.9094416043523103,0.9900597548259779,0.0009476473911520306,1054.2448192616514,8116.521739296819,6987.548856884299,8377.016353624036,6.977266647002486,6.7168723989576335,0.9900597548259779,-0.1322148354291035,5530.381968412623,7058.681376453963,5.599336784049718,5.424006284529432,0.7460368691141309,0.16348162954182632,7256.848079092486,7848.810995311429,7.19545805196192,7.014644688930146,0.9530033310254102,0.1793689060122824,A1,panel2_common_period,all_features,12,7,0.0055158138275146484
random_forest,5408.654107473071,0.7486059494077507,0.899804842293271,0.0006150311269988256,1624.9339667566283,6886.185181863202,6350.556384640076,7577.863075433136,6.200453378119298,5.948309598087607,0.899804842293271,0.07350384338627969,5043.215200913972,6928.861218235211,5.025881032412579,4.828547899174948,0.6803190991595424,0.1939684323486609,3602.05677439421,4073.0177513757585,3.5091608515577395,3.467606755809529,0.47303899256626253,0.7790098930748065,A1,panel2_common_period,all_features,12,7,0.6539990901947021
catboost,5176.48860817972,0.7147085928732504,0.8258560896600055,0.0010623741460368261,940.2879668904669,6578.518288959512,5828.647965060475,7642.907230120436,5.728996251173079,5.471306209312787,0.8258560896600055,0.057530529691441123,4386.802157353335,5321.531385586044,4.341598577395744,4.33826525682109,0.5917703633469571,0.52455358029002,4730.619892217408,5263.426038146483,4.601731915950342,4.549335959090923,0.6212471951958028,0.6309567421588256,A1,panel2_common_period,all_features,12,7,9.04360294342041
lightgbm,4595.291197915446,0.6370806403789584,0.8009784247417606,0.0005616621266873765,1779.4298215688739,8256.701636957683,5653.068765710041,7497.637847404384,5.621104156437489,5.34897379991149,0.8009784247417606,0.09301723796244299,4020.6581764788552,4814.304962936433,3.916723194033109,3.8984964810766756,0.5423783121836293,0.6108692777934726,2812.7968105838445,3307.4922676673345,2.80485150558234,2.7594402732399868,0.3693896717649462,0.8542737123697881,A1,panel2_common_period,all_features,12,7,0.042597055435180664
lstm,7409.292775213048,1.0181670520791863,1.0861063130534374,0.001150377967832166,868.2795133102677,8485.240104166625,7238.565198863621,8293.453831560335,7.132011749308733,6.952310006061162,1.0256260432466322,-0.1097393281322927,7119.7744140624745,8490.098943305586,7.209339043324476,6.929550416513769,0.9604425594839427,-0.2101907485771346,8270.389257812476,8989.21429911844,8.087057055092085,7.970871264677965,1.0861063130534374,-0.07642479797094226,A1,panel2_common_period,all_features,12,7,3.060824155807495
ridge,5357.163659551896,0.7380240912528266,0.8194029062831057,0.0008078711753587115,1236.8211161649372,7038.540405995154,5783.103305853066,6663.995255984992,5.758334687637638,5.57343886003378,0.8194029062831057,0.2834945913786312,4223.014043147188,5741.07611045645,4.261498970928836,4.151194529939624,0.5696756920171331,0.4466308620058437,5993.538968406032,6345.696062597849,5.919324769682912,5.807020822017684,0.7870996525306692,0.4635876597005133,A2,panel2_common_period,all_features,26,7,0.005329132080078125
random_forest,5376.369223003689,0.7384900258500862,0.764632077574731,0.0011589750508899893,861.831343290858,6795.143454024106,5087.370369959678,6042.076908687528,4.906023015890395,4.860359838892476,0.72082510825364,0.41099007521185615,5668.228514376886,7109.292861749657,5.388326252817033,5.452177375606774,0.764632077574731,0.15144277501048242,5661.077418553918,6050.9359558351525,5.467804255859524,5.4398179233467685,0.7434392422542343,0.5122634085083464,A2,panel2_common_period,all_features,26,7,0.7236323356628418
catboost,5224.119142634732,0.7176527440828386,0.7559895115488222,0.0007304925435081634,1367.9393668517641,6812.079022025147,5019.409010646056,6316.589377199485,4.891831933685604,4.7364687610663685,0.7111957220242481,0.35625272180265954,5210.2860354116965,6037.478393250637,5.074252538230676,5.039850829459813,0.7028566025365005,0.38801679376832254,5756.644133440977,7046.072758804639,5.432483058692586,5.509375936639403,0.7559895115488222,0.3386452559072257,A2,panel2_common_period,all_features,26,7,9.033454895019531
lightgbm,6838.451579771731,0.9447613085290709,1.110463066928848,0.00037755698881348885,2647.606778919923,9674.37876864678,7837.319814393195,8918.261124282966,7.6130405085050326,7.372914335269392,1.110463066928848,-0.2832476660820116,5680.281346268313,7922.227077258847,5.336543281237029,5.567974652576429,0.7662579791886877,-0.05371436007560626,6078.536343473203,6806.345328071424,5.979245426254938,5.797270463607056,0.7982619065402032,0.3828820400644657,A2,panel2_common_period,all_features,26,7,0.0853736400604248
lstm,3920.0011079545543,0.5385332396031995,0.5840181112284955,0.0007307948783458261,1367.3730272761723,6231.156250000022,3802.3825284091,4731.713465434715,3.6194661924188214,3.596624928807641,0.538756292218599,0.6387673561875744,3764.612109375019,4069.290858224272,3.7038351023800056,3.6565534054414086,0.5078382374940034,0.7219865602799613,4447.131054687496,5045.475423252935,4.416893845287966,4.338820529968649,0.5840181112284955,0.6608870175821686,A2,panel2_common_period,all_features,26,7,1.3433377742767334
ridge,6084.359506148634,0.8399400187010575,0.9925905665046446,0.0006479583205704601,1542.3091423528658,8598.456742663804,7005.410577013874,8431.113876772797,6.718308827129185,6.70081760590545,0.9925905665046446,-0.14688540247108506,4300.33952058648,5708.822231164649,4.231167708562608,4.220141917540561,0.5801067359162804,0.4528311507186711,6457.761807328767,7193.348009235202,6.43813039044521,6.262235107758918,0.8480635733692551,0.31070937828065914,A3,panel2_common_period,all_features,24,7,0.006646394729614258
random_forest,4909.869681998701,0.6760752345690935,0.7074014576919017,0.0008915587219319057,1120.6311112218323,6234.672779854998,4992.63021545822,5519.568830881271,4.921257578323679,4.83710346704609,0.7074014576919017,0.5084582383470314,5051.677028743772,6567.252544264789,4.788297113642697,4.904407342576186,0.6814605818956686,0.27590464683643656,4490.257328232297,5462.314683199096,4.483824901120107,4.35985893202581,0.5896816557722099,0.6025397891094716,A3,panel2_common_period,all_features,24,7,0.7084252834320068
catboost,4919.7590129176315,0.6777359586030484,0.730204330220013,0.0009506682643415648,1050.891640342704,6608.96935015637,5153.56614391184,5855.452737039334,5.033534524510559,4.946326046736283,0.730204330220013,0.44681413518653124,4611.366857033367,5745.867946579943,4.3893477725436005,4.466652628271602,0.6220636679359948,0.4457067283464148,4797.829419258505,5473.450819814793,4.781717461235044,4.660515668557924,0.6300734655612172,0.6009175160149192,A3,panel2_common_period,all_features,24,7,10.480918169021606
lightgbm,3326.032555280771,0.4554485081632678,0.6088105616626449,0.0006301815645497287,1585.8442624380964,5801.724793985748,2666.8914375879117,4821.09040067221,2.687874250045382,2.576053569530846,0.3778695415123174,0.6249918859056469,4513.121390898934,5712.59971333598,4.316077475101275,4.398283756869542,0.6088105616626449,0.4521067966149416,3193.2520960856746,3659.640133254775,3.0622955547247352,3.075544414363912,0.4193528445415781,0.8215909052812516,A3,panel2_common_period,all_features,24,7,0.08670234680175781
lstm,7475.2835067471315,1.0273908416232076,1.0804390883545463,0.0011104805803299489,899.5110199251548,8809.117708333293,7324.245880681789,8275.77921116725,7.181080070695522,7.033977778288297,1.0377660649583433,-0.10501431939577,7225.7119140624745,8486.358403296177,7.297204078193917,7.028830201443209,0.9747333049104223,-0.20912461972511198,8227.234960937476,8838.183720035693,8.032150947224466,7.9301369735100184,1.0804390883545463,-0.04055796133958478,A3,panel2_common_period,all_features,24,7,2.1093759536743164
ridge,5120.564224042045,0.7056296385591116,0.7895887707044212,0.0009395331016193127,1063.3584545094482,7094.349384145196,5572.683956953819,6722.738083630631,5.352512513258305,5.302572275237835,0.7895887707044212,0.2708069885540688,4005.967625961319,5286.487459818403,3.9537038940145433,3.9372598871486018,0.5403965878875023,0.5307948846241051,5662.1597888837005,6217.014621789482,5.599143621929829,5.4875655877046405,0.7435813842032518,0.4851223930940266,A4,panel2_common_period,all_features,38,7,0.0055658817291259766
random_forest,5025.969579219231,0.6918316627057347,0.7227086922154925,0.0007619627237191745,1311.4001593135092,7018.026071527391,5100.6641483355115,5945.34117172437,4.85725523341182,4.8822506313342,0.7227086922154925,0.4296995980492201,5004.836841492808,6768.722299841945,4.7825976264622625,4.9027060855426985,0.675141939377843,0.23079567247424404,4870.93226301816,5088.548652649156,4.742243291119297,4.694272487780705,0.6396736739231778,0.6550722870672528,A4,panel2_common_period,all_features,38,7,0.7357261180877686
catboost,4476.008460932438,0.6172755605616977,0.6909899370286666,0.0012472398685445729,800.7703933461639,6033.274073004355,4876.80255769197,6266.096416382536,4.731913272201801,4.615460966583271,0.6909899370286666,0.3665034402275813,3911.020428564563,5112.39464235315,3.8210513006345037,3.793266509092937,0.5275884111138882,0.5611894427331829,4321.505267585419,4720.355024708273,4.151475241314801,4.148858744701185,0.5675203435659898,0.7031824651343489,A4,panel2_common_period,all_features,38,7,8.374752521514893
lightgbm,5459.164182100479,0.7547898674019261,0.8599499868104092,0.0004204172488206951,2377.589372355873,9407.953138368623,6069.272605036785,7820.614165441802,5.770514481414102,5.73458311842393,0.8599499868104092,0.013193878065096976,5983.89657205732,8840.979282062157,5.623561638686051,5.922600408075515,0.8072150331058919,-0.3122877393199712,3146.7945398244538,3638.5948033945356,3.0410663266314417,3.0194634997991305,0.4132518203247696,0.8236369437885572,A4,panel2_common_period,all_features,38,7,0.08051633834838867
lstm,6189.608325639214,0.8532940703162568,0.9221917468332871,0.0003436889483717559,2908.607669194926,11609.650520833316,6508.556534090918,8426.394618592636,6.051106156564378,6.198063009607634,0.9221917468332871,-0.14560183932486614,6265.982226562519,8205.48325209307,6.335780394225959,6.023381540365704,0.8452677932427245,-0.1304117219605163,5277.676953124996,6498.1459632599235,5.04299527564418,5.067641566948983,0.6930892946339793,0.4375043722649614,A4,panel2_common_period,all_features,38,7,1.1148598194122314
