model,weighted_mae,weighted_mase,worst_horizon_mase,stability_score,error_std,worst_fold_error,mae_h1,rmse_h1,mape_h1,smape_h1,mase_h1,r2_h1,mae_h2,rmse_h2,mape_h2,smape_h2,mase_h2,r2_h2,mae_h4,rmse_h4,mape_h4,smape_h4,mase_h4,r2_h4,configuration,panel,fs_option,n_features,n_folds,total_runtime_seconds
ridge,6573.526634870334,0.9051731374752952,0.9852244988483997,0.0009496486352731576,1052.0210467920688,8030.832139472361,6953.423050624446,8323.171788433923,6.937919673849261,6.685131358775393,0.9852244988483997,-0.1177066414785286,5478.375399039043,6971.94738414116,5.543156135584841,5.374451759116225,0.7390212925390525,0.18391287288390779,7266.512449231992,7857.207414481465,7.198275389028433,7.023073928766996,0.9542725014468976,0.17761219452990573,A1,panel2_common_period,all_features,11,7,0.010567665100097656
random_forest,5405.245760416547,0.7471041069090325,0.851097717874873,0.0005857860735895485,1706.107842069808,7778.534790660084,6006.795909685997,7260.562128849771,5.869081969572389,5.6310826206830065,0.851097717874873,0.1494681003537397,5721.599251062977,7915.278962943986,5.685343585328693,5.440289179905192,0.7718316774445089,-0.05186687016980285,3426.8401512732744,3887.9211075723774,3.3266532689172466,3.3076703672190995,0.450028723691217,0.7986391138164808,A1,panel2_common_period,all_features,11,7,1.0405845642089844
lightgbm,5511.743729441693,0.7610224286063254,0.8538128944821005,0.00037280279224144463,2681.3833426450115,9276.791966358112,6025.958822940062,8571.87339541367,5.955020931698456,5.666065191427321,0.8538128944821005,-0.18550014267778203,5565.998674041884,7071.469345536687,5.317502395244853,5.439052358996407,0.7508414876210585,0.1604479011395289,4144.823578795482,5998.9035329396975,3.990565907924579,4.098441106119639,0.5443176753947881,0.5206155056621784,A1,panel2_common_period,all_features,11,7,0.126936674118042
catboost,4570.612314064898,0.6294096386011814,0.6768608193313876,0.0009143522787172456,1092.6703754956575,6744.432780235399,4777.08342484856,6842.62335081305,4.7445141636370805,4.520977627054931,0.6768608193313876,0.24456798733725083,4122.803425909307,5156.290910474065,4.075713162609401,4.024884233497558,0.5561574910026015,0.5536216229648887,4726.147869339131,5339.112903687713,4.636437373048913,4.5653726743172784,0.6206599081735351,0.6202669164958137,A1,panel2_common_period,all_features,11,7,9.244606256484985
lstm,7423.741452414746,1.0201003381189613,1.0650612748402974,0.0012692369103239165,786.8749757953339,8403.115104166625,7200.182670454516,8163.333311171993,7.089933651305645,6.916380884646099,1.020187655988863,-0.07518989246624042,7338.7421874999745,8550.566980785981,7.409228996425088,7.135401920227366,0.9899808505215676,-0.22749053579601086,8110.137304687476,8742.901937596733,7.922546962202229,7.818178597810404,1.0650612748402974,-0.01824301796708183,A1,panel2_common_period,all_features,11,7,2.8139419555664062
ridge,5328.014974650662,0.7339160346445478,0.8122874345202173,0.0008189049538974649,1220.1429363574348,6953.494459267957,5732.884411144329,6591.618095605637,5.704252953870479,5.526165929169672,0.8122874345202173,0.2989738972702837,4204.478744429813,5683.103303332376,4.238448637009993,4.131860482506918,0.5671753192938409,0.45775016771121524,6001.145728747768,6359.142059158165,5.920283072807944,5.812184309104616,0.7880986079814346,0.4613120259934109,A2,panel2_common_period,all_features,25,7,0.00543975830078125
random_forest,5240.910911236767,0.7204208117492017,0.7477989573343917,0.0009469384214171598,1055.0348776464575,6934.540504522931,5059.114246501354,5879.669782088174,4.876267947651509,4.827152741782141,0.7168215225562148,0.44222892876017605,5543.444353562105,7195.439893947779,5.256808973566955,5.3456394683129265,0.7477989573343917,0.13075335126533927,5241.602409587293,5651.892995243774,5.054957242147717,5.0342787937434395,0.688351816353884,0.5744720529084564,A2,panel2_common_period,all_features,25,7,1.0647199153900146
lightgbm,6756.085014015505,0.9333299143099474,1.101440133460533,0.00037993005479083696,2631.0634216488356,9358.864535491186,7773.638619258312,8858.623031383291,7.5653190547393185,7.341767432345836,1.101440133460533,-0.2661424130039396,5414.767475862132,7601.727058088772,5.113290263381148,5.269455067642688,0.7304407177923545,0.02981876637711456,6224.177308138545,6950.679362164282,6.1352772905874815,5.945418915677263,0.8173881612098728,0.35643156398800313,A2,panel2_common_period,all_features,25,7,0.10747385025024414
catboost,5251.869936501815,0.7222742293341955,0.7365150665875235,0.0007902661839753715,1264.3964199373675,7247.08133498138,5198.105454267555,6479.404629851894,5.043958186636954,4.875172519007206,0.7365150665875235,0.32263879654161276,5257.933467476905,5993.612428134185,5.115114770004749,5.0811513282911696,0.7092841406780404,0.39687735068634244,5377.185845624828,6485.749338929248,5.080810578975699,5.141067329572123,0.7061572691851082,0.43964849020983243,A2,panel2_common_period,all_features,25,7,13.47090768814087
lstm,5170.3459339488745,0.7103405382870454,0.7654191382872457,0.0005315008849553234,1880.4644120189141,8087.187500000022,5017.347727272736,5146.4636234408745,4.873684778589366,4.8595516254138955,0.7109036605656429,0.5726655262687352,4986.608203125019,6418.939463405877,5.081217363756491,4.869524435843663,0.6726829344892489,0.30824089296695445,5828.448046875004,7251.476720185153,5.78246037121346,5.606792183070387,0.7654191382872457,0.299524192675365,A2,panel2_common_period,all_features,25,7,1.3574349880218506
