feature,importance,importance_normalized,regime,n_samples
GDP,0.0,,pre_covid,7
Population,0.0,,pre_covid,7
Air_Temp,0.0,,pre_covid,7
Rainfall,0.0,,pre_covid,7
COVID_Deaths,0.0,,pre_covid,7
Mobility_Retail_Recreation,0.0,,pre_covid,7
Mobility_Grocery_Pharmacy,0.0,,pre_covid,7
Mobility_Parks,0.0,,pre_covid,7
Mobility_Transit_Stations,0.0,,pre_covid,7
Mobility_Workplaces,0.0,,pre_covid,7
Mobility_Residential,0.0,,pre_covid,7
Grid_CI_mean,0.0,,pre_covid,7
Grid_CI_p90,0.0,,pre_covid,7
Grid_CI_std,0.0,,pre_covid,7
Grid_CI_high_share,0.0,,pre_covid,7
Grid_CI_low_share,0.0,,pre_covid,7
Grid_renewable_share,0.0,,pre_covid,7
Grid_low_carbon_share,0.0,,pre_covid,7
Grid_fossil_share,0.0,,pre_covid,7
Grid_gas_share,0.0,,pre_covid,7
Grid_wind_share,0.0,,pre_covid,7
OWID_RenewableShare_L1Y,0.0,,pre_covid,7
OWID_LowCarbonShare_L1Y,0.0,,pre_covid,7
GDP,0.0,,covid,8
Population,0.0,,covid,8
Air_Temp,0.0,,covid,8
Rainfall,0.0,,covid,8
COVID_Deaths,0.0,,covid,8
Mobility_Retail_Recreation,0.0,,covid,8
Mobility_Grocery_Pharmacy,0.0,,covid,8
Mobility_Parks,0.0,,covid,8
Mobility_Transit_Stations,0.0,,covid,8
Mobility_Workplaces,0.0,,covid,8
Mobility_Residential,0.0,,covid,8
Grid_CI_mean,0.0,,covid,8
Grid_CI_p90,0.0,,covid,8
Grid_CI_std,0.0,,covid,8
Grid_CI_high_share,0.0,,covid,8
Grid_CI_low_share,0.0,,covid,8
Grid_renewable_share,0.0,,covid,8
Grid_low_carbon_share,0.0,,covid,8
Grid_fossil_share,0.0,,covid,8
Grid_gas_share,0.0,,covid,8
Grid_wind_share,0.0,,covid,8
OWID_RenewableShare_L1Y,0.0,,covid,8
OWID_LowCarbonShare_L1Y,0.0,,covid,8
GDP,0.0,,post_covid,13
Population,0.0,,post_covid,13
Air_Temp,0.0,,post_covid,13
Rainfall,0.0,,post_covid,13
COVID_Deaths,0.0,,post_covid,13
Mobility_Retail_Recreation,0.0,,post_covid,13
Mobility_Grocery_Pharmacy,0.0,,post_covid,13
Mobility_Parks,0.0,,post_covid,13
Mobility_Transit_Stations,0.0,,post_covid,13
Mobility_Workplaces,0.0,,post_covid,13
Mobility_Residential,0.0,,post_covid,13
Grid_CI_mean,0.0,,post_covid,13
Grid_CI_p90,0.0,,post_covid,13
Grid_CI_std,0.0,,post_covid,13
Grid_CI_high_share,0.0,,post_covid,13
Grid_CI_low_share,0.0,,post_covid,13
Grid_renewable_share,0.0,,post_covid,13
Grid_low_carbon_share,0.0,,post_covid,13
Grid_fossil_share,0.0,,post_covid,13
Grid_gas_share,0.0,,post_covid,13
Grid_wind_share,0.0,,post_covid,13
OWID_RenewableShare_L1Y,0.0,,post_covid,13
OWID_LowCarbonShare_L1Y,0.0,,post_covid,13
