feature,importance,importance_normalized,regime,n_samples
Population,0.046848044342601196,0.3364086917801661,pre_covid,7
Rainfall,0.030781035725096245,0.22103394293669315,pre_covid,7
Air_Temp,0.030180786895389666,0.21672364724820178,pre_covid,7
COVID_Deaths,0.01764996068245611,0.12674168722464857,pre_covid,7
GDP,0.006972643701688855,0.05006949551149869,pre_covid,7
Mobility_Parks,0.0068268447384983106,0.04902253529879171,pre_covid,7
Rainfall,0.04183143405440289,0.35558482860241936,covid,8
Air_Temp,0.023662075520570293,0.2011376195570303,covid,8
Population,0.01837679498184669,0.1562105063236286,covid,8
COVID_Deaths,0.0128288754583674,0.1090508509723256,covid,8
GDP,0.010798032435446683,0.09178782892807716,covid,8
Mobility_Parks,0.01014401037323056,0.0862283656165189,covid,8
Rainfall,0.03163492660202578,0.3160323694215924,post_covid,13
Population,0.023799327626471613,0.23775487122366037,post_covid,13
Air_Temp,0.022761583575354495,0.22738782610756064,post_covid,13
COVID_Deaths,0.00964904400327608,0.09639378264949963,post_covid,13
GDP,0.007785711507346551,0.07777912325366751,post_covid,13
Mobility_Parks,0.004469680147780418,0.04465202734401931,post_covid,13
