scheme_a,scheme_b,spearman_rho,p_value,top_choice_a,top_choice_b,top_choice_agrees
vikor_equal,vikor_accuracy_emphasis,0.6058823529411764,0.012860298533367193,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_equal,vikor_horizon_robustness_emphasis,0.6558823529411765,0.005800736962231502,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_equal,vikor_stability_emphasis,0.4911764705882353,0.053350435677943356,A3/all_features/lightgbm,A4/all_features/catboost,False
vikor_equal,vikor_parsimony_emphasis,0.5294117647058824,0.0349520067895181,A3/all_features/lightgbm,A1/all_features/catboost,False
vikor_equal,vikor_runtime_emphasis,0.6088235294117647,0.012315203198246456,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_equal,topsis_equal,0.7794117647058825,0.00037168023647875503,A3/all_features/lightgbm,A3/all_features/random_forest,False
vikor_equal,weighted_sum_equal,0.9470588235294116,2.715731165956679e-08,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_accuracy_emphasis,vikor_horizon_robustness_emphasis,0.9852941176470588,3.836719544768076e-12,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_accuracy_emphasis,vikor_stability_emphasis,0.7147058823529412,0.0018627410999474353,A3/all_features/lightgbm,A4/all_features/catboost,False
vikor_accuracy_emphasis,vikor_parsimony_emphasis,0.11176470588235293,0.6802736949858406,A3/all_features/lightgbm,A1/all_features/catboost,False
vikor_accuracy_emphasis,vikor_runtime_emphasis,0.7617647058823529,0.000605342838070589,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_accuracy_emphasis,topsis_equal,0.16764705882352943,0.5348568245819433,A3/all_features/lightgbm,A3/all_features/random_forest,False
vikor_accuracy_emphasis,weighted_sum_equal,0.7323529411764707,0.0012549581661522623,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_horizon_robustness_emphasis,vikor_stability_emphasis,0.7264705882352941,0.0014361826350785247,A3/all_features/lightgbm,A4/all_features/catboost,False
vikor_horizon_robustness_emphasis,vikor_parsimony_emphasis,0.19705882352941176,0.46446421122573867,A3/all_features/lightgbm,A1/all_features/catboost,False
vikor_horizon_robustness_emphasis,vikor_runtime_emphasis,0.7264705882352941,0.0014361826350785247,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_horizon_robustness_emphasis,topsis_equal,0.2323529411764706,0.38651134990798475,A3/all_features/lightgbm,A3/all_features/random_forest,False
vikor_horizon_robustness_emphasis,weighted_sum_equal,0.7794117647058825,0.00037168023647875503,A3/all_features/lightgbm,A3/all_features/lightgbm,True
vikor_stability_emphasis,vikor_parsimony_emphasis,0.0,1.0,A4/all_features/catboost,A1/all_features/catboost,False
vikor_stability_emphasis,vikor_runtime_emphasis,0.4617647058823529,0.07176841584053797,A4/all_features/catboost,A3/all_features/lightgbm,False
vikor_stability_emphasis,topsis_equal,0.21176470588235297,0.431083247239221,A4/all_features/catboost,A3/all_features/random_forest,False
vikor_stability_emphasis,weighted_sum_equal,0.6264705882352941,0.009413977306783632,A4/all_features/catboost,A3/all_features/lightgbm,False
vikor_parsimony_emphasis,vikor_runtime_emphasis,-0.10882352941176471,0.688288293957414,A1/all_features/catboost,A3/all_features/lightgbm,False
vikor_parsimony_emphasis,topsis_equal,0.2588235294117647,0.3330723066336081,A1/all_features/catboost,A3/all_features/random_forest,False
vikor_parsimony_emphasis,weighted_sum_equal,0.5470588235294118,0.028301087242108842,A1/all_features/catboost,A3/all_features/lightgbm,False
vikor_runtime_emphasis,topsis_equal,0.4970588235294117,0.05013355780377417,A3/all_features/lightgbm,A3/all_features/random_forest,False
vikor_runtime_emphasis,weighted_sum_equal,0.6558823529411765,0.005800736962231502,A3/all_features/lightgbm,A3/all_features/lightgbm,True
topsis_equal,weighted_sum_equal,0.6470588235294118,0.006742077007179868,A3/all_features/random_forest,A3/all_features/lightgbm,False
