scheme_a,scheme_b,spearman_rho,p_value,top_choice_a,top_choice_b,top_choice_agrees
vikor_equal,vikor_accuracy_emphasis,0.4744897959183674,0.0006562428301599293,A1/fs_linear/catboost,A3/fs_linear/lightgbm,False
vikor_equal,vikor_horizon_robustness_emphasis,0.5100955275727312,0.00021251859196540448,A1/fs_linear/catboost,A3/fs_linear/lightgbm,False
vikor_equal,vikor_stability_emphasis,0.4620060790273556,0.0009474518055757141,A1/fs_linear/catboost,A1/fs_linear/catboost,True
vikor_equal,vikor_parsimony_emphasis,0.5340859748154582,9.24282879846273e-05,A1/fs_linear/catboost,A1/fs_linear/catboost,True
vikor_equal,vikor_runtime_emphasis,0.6382978723404255,1.0567393785628709e-06,A1/fs_linear/catboost,A3/fs_linear/lightgbm,False
vikor_equal,topsis_equal,0.5381024750325661,7.990432212437231e-05,A1/fs_linear/catboost,A2/fs_xgboost_shap/random_forest,False
vikor_equal,weighted_sum_equal,0.8694094659140251,1.099691874131709e-15,A1/fs_linear/catboost,A1/fs_linear/catboost,True
vikor_accuracy_emphasis,vikor_horizon_robustness_emphasis,0.956904038211029,2.4246193053998586e-26,A3/fs_linear/lightgbm,A3/fs_linear/lightgbm,True
vikor_accuracy_emphasis,vikor_stability_emphasis,0.4362787668258793,0.0019359458775042478,A3/fs_linear/lightgbm,A1/fs_linear/catboost,False
vikor_accuracy_emphasis,vikor_parsimony_emphasis,0.149587494572297,0.31021166489833535,A3/fs_linear/lightgbm,A1/fs_linear/catboost,False
vikor_accuracy_emphasis,vikor_runtime_emphasis,0.7669344333478073,2.067194649022666e-10,A3/fs_linear/lightgbm,A3/fs_linear/lightgbm,True
vikor_accuracy_emphasis,topsis_equal,-0.32001736864958746,0.026597578591878102,A3/fs_linear/lightgbm,A2/fs_xgboost_shap/random_forest,False
vikor_accuracy_emphasis,weighted_sum_equal,0.4147850629613547,0.0033758128372952654,A3/fs_linear/lightgbm,A1/fs_linear/catboost,False
vikor_horizon_robustness_emphasis,vikor_stability_emphasis,0.5565566652192792,3.994502459790768e-05,A3/fs_linear/lightgbm,A1/fs_linear/catboost,False
vikor_horizon_robustness_emphasis,vikor_parsimony_emphasis,0.1607685627442466,0.275010543684858,A3/fs_linear/lightgbm,A1/fs_linear/catboost,False
vikor_horizon_robustness_emphasis,vikor_runtime_emphasis,0.8180633955709943,1.25955286457121e-12,A3/fs_linear/lightgbm,A3/fs_linear/lightgbm,True
vikor_horizon_robustness_emphasis,topsis_equal,-0.2367564046895354,0.10519217424175115,A3/fs_linear/lightgbm,A2/fs_xgboost_shap/random_forest,False
vikor_horizon_robustness_emphasis,weighted_sum_equal,0.5112896222318715,0.0002041876777540662,A3/fs_linear/lightgbm,A1/fs_linear/catboost,False
vikor_stability_emphasis,vikor_parsimony_emphasis,0.10497177594442031,0.47766650882560324,A1/fs_linear/catboost,A1/fs_linear/catboost,True
vikor_stability_emphasis,vikor_runtime_emphasis,0.46450282240555796,0.0008813304573264306,A1/fs_linear/catboost,A3/fs_linear/lightgbm,False
vikor_stability_emphasis,topsis_equal,0.233608336951802,0.11003805319200584,A1/fs_linear/catboost,A2/fs_xgboost_shap/random_forest,False
vikor_stability_emphasis,weighted_sum_equal,0.556665219279201,3.9777593439129904e-05,A1/fs_linear/catboost,A1/fs_linear/catboost,True
vikor_parsimony_emphasis,vikor_runtime_emphasis,0.1105080330004342,0.4546199244838397,A1/fs_linear/catboost,A3/fs_linear/lightgbm,False
vikor_parsimony_emphasis,topsis_equal,0.5623100303951368,3.190788207833251e-05,A1/fs_linear/catboost,A2/fs_xgboost_shap/random_forest,False
vikor_parsimony_emphasis,weighted_sum_equal,0.6456795484151108,7.217107994965699e-07,A1/fs_linear/catboost,A1/fs_linear/catboost,True
vikor_runtime_emphasis,topsis_equal,0.06860616587060356,0.6431243959219344,A3/fs_linear/lightgbm,A2/fs_xgboost_shap/random_forest,False
vikor_runtime_emphasis,weighted_sum_equal,0.615392965696917,3.243788911662001e-06,A3/fs_linear/lightgbm,A1/fs_linear/catboost,False
topsis_equal,weighted_sum_equal,0.5898827616152843,1.0235597606193643e-05,A2/fs_xgboost_shap/random_forest,A1/fs_linear/catboost,False
