feature,importance,importance_normalized
CO2e_per_Population,0.8679985664601229,0.8679985664601229
TEC,0.11910614818780252,0.11910614818780252
CO2e_lag4,0.00342002587974641,0.00342002587974641
GDP,0.001228227074703959,0.001228227074703959
CO2e_lag3,0.0012153005588901253,0.0012153005588901253
Air_Temp,0.0009981469701978395,0.0009981469701978395
CO2e_lag1,0.0009758242139920593,0.0009758242139920593
Rainfall,0.0008569462031035204,0.0008569462031035204
CO2e_dlog,0.0007291855237040967,0.0007291855237040967
HDD_proxy,0.0006028484217887048,0.0006028484217887048
GDP_dlog,0.0005388165699586882,0.0005388165699586882
CEI,0.0004907299723149064,0.0004907299723149064
COVID_Deaths,0.00041808707548235716,0.00041808707548235716
TEC_dlog,0.0003948935855708531,0.0003948935855708531
Population,0.0002935591403801246,0.0002935591403801246
CO2e_lag2,0.00023882415117315763,0.00023882415117315763
Q3,0.00023021124435456316,0.00023021124435456316
CO2e_per_TEC,0.00019878964633825304,0.00019878964633825304
EnergyCrisis,3.166446169950934e-05,3.166446169950934e-05
Q2,2.831972392238791e-05,2.831972392238791e-05
Q4,4.2957846021250494e-06,4.2957846021250494e-06
COVID,5.891501509957641e-07,5.891501509957641e-07
CDD_proxy,0.0,0.0
