feature,stability,avg_coefficient,std_coefficient,n_folds_important,n_folds_total
CO2e_lag4,1.0,0.08891073305669019,0.01749728934704011,44,44
CO2e_dlog,1.0,0.054311738022427905,0.004121813655331686,44,44
CO2e_per_TEC,1.0,0.03497324862688113,0.004610682620218411,44,44
Q2,1.0,0.02208040219231716,0.0025951002329293008,44,44
Q4,1.0,0.030057410211927607,0.0020117003201198316,44,44
GDP,0.7954545454545454,0.010890241062792967,0.004693489954462747,35,44
GDP_dlog,0.7954545454545454,0.009296782886735279,0.004803000010155675,35,44
Rainfall,0.3181818181818182,0.0038186197622987164,0.0015288171764705955,14,44
COVID_Deaths,0.25,0.005020499940426757,0.009645560598762587,11,44
COVID,0.25,0.0027318303021320444,0.0050316527551563395,11,44
EnergyCrisis,0.045454545454545456,0.0008778637829186188,0.0027019637375928322,2,44
CDD_proxy,0.0,0.0,0.0,0,44
