feature,mean_importance,std_importance,min_importance,max_importance
CO2e_per_Population,0.5793969295363733,0.17602986136500337,0.23309187610336438,0.7917761846074863
TEC,0.25337652920204595,0.1497447410097553,0.08338961663808467,0.5013259242026352
CO2e_lag4,0.10909913499641138,0.058395958269242,0.048641832325928884,0.25372487766133806
CO2e_per_TEC,0.009821820289330636,0.020252930558741247,0.0005266266921156684,0.07344376335150617
TEC_dlog,0.008037137463135252,0.015113826913029317,0.0005942774597048234,0.057404671827094744
CEI,0.005516035805098268,0.004217072978405091,0.0005957211080925682,0.01527486271701667
CO2e_lag1,0.004894095777627521,0.002903585286141761,0.0018013894920352526,0.010540565911875802
CO2e_lag2,0.0047291756260347895,0.008773382636053543,0.00074185105855643,0.03532445086906212
Population,0.004395680700321738,0.0036405495660551046,0.0011225979382230588,0.01359155234228273
CO2e_dlog,0.004177698580493812,0.0025171901222264845,0.0013886025145614066,0.010555442421447517
Air_Temp,0.0034170285382302463,0.0016381561986318297,0.0011157841162344826,0.006461071382499936
GDP_dlog,0.00327991262066956,0.0023531077091197773,0.001652658355895483,0.011129274882789952
HDD_proxy,0.0026786363352112974,0.0014087663457146963,0.0007691286949767597,0.0056694867353429485
CO2e_lag3,0.002201698414722481,0.0010217125558304265,0.0006667530981896955,0.004207296437098216
GDP,0.002045898312719028,0.001214105672625747,0.0007303989543742301,0.004512451889107531
Rainfall,0.0011274503050141748,0.00028027631818077295,0.0005960985623682341,0.0016287343113618427
Q3,0.0009869687735615364,0.0011389693958486677,0.00012011285749656181,0.00440517865764299
COVID_Deaths,0.0002753754385553401,0.0006825526920632685,0.0,0.0026849107396013303
Q2,0.0002658387837650207,0.00026802261744604625,2.2321087418324324e-05,0.0010312870520543568
COVID,0.00013853579386156455,0.0003694857732491497,0.0,0.0013567553752599699
Q4,0.0001346146706673181,8.164213712602469e-05,3.762100278314103e-05,0.0002595789054643871
EnergyCrisis,3.804036149724997e-06,1.0633724692973717e-05,0.0,3.4571405962833674e-05
CDD_proxy,0.0,0.0,0.0,0.0
