comparison,horizon,n_pairs,pct_A3_better,mean_abs_error_diff_tonnes,wilcoxon_p,holm_corrected_p,significant,dm_statistic,dm_p_value,dm_p_holm_corrected
A3 vs A1 (baseline),1,11,72.72727272727273,-3370.2901355978593,0.0244140625,0.29296875,False,-2.421412495615838,0.0359746204168036,0.1798731020840183
A3 vs A1 (baseline),2,8,50.0,-1302.709952042178,0.546875,1.0,False,-2.487069188351699,0.0417754323419063,0.1798731020840183
A3 vs A1 (baseline),4,8,50.0,-587.2397705126077,0.7421875,1.0,False,,,
A3 vs A1 (baseline),Pooled,27,59.25925925925925,-1933.066269333879,0.1110508292913436,1.0,False,,,
A3 vs A2 (engineered-only),1,11,72.72727272727273,-5117.969931916113,0.013671875,0.19140625,False,-3.63093976097241,0.0046053917043389,0.0368431336347114
A3 vs A2 (engineered-only),2,8,62.5,-1151.4787538624169,0.4609375,1.0,False,-0.6745473835205659,0.5216104755770967,1.0
A3 vs A2 (engineered-only),4,8,87.5,-2666.5934998556822,0.109375,1.0,False,,,
A3 vs A2 (engineered-only),Pooled,27,74.07407407407408,-3216.3795289193345,0.0020453035831451,0.0306795537471771,True,,,
A3 vs A4 (full fusion),1,11,63.63636363636363,-2925.126659206792,0.1748046875,1.0,False,-1.776867015095379,0.1059648431498967,0.3178945294496902
A3 vs A4 (full fusion),2,8,50.0,-1507.697045255478,0.640625,1.0,False,-0.5102688256642206,0.6255553385785098,1.0
A3 vs A4 (full fusion),4,8,62.5,20.15115747659183,0.84375,1.0,False,,,
A3 vs A4 (full fusion),Pooled,27,59.25925925925925,-1632.4726056854,0.1854744255542755,1.0,False,,,
A3 vs seasonal-naive,1,11,81.81818181818183,-7142.576767203206,0.0185546875,0.2412109375,False,-2.94290874806265,0.0147120994685208,0.1029846962796456
A3 vs seasonal-naive,2,8,75.0,-4919.073778000271,0.0390625,0.4296875,False,-2.9218195590457414,0.0222822154643738,0.1336932927862428
A3 vs seasonal-naive,4,8,62.5,-6190.341191717125,0.1484375,1.0,False,,,
A3 vs seasonal-naive,Pooled,27,74.07407407407408,-6201.617192480534,0.0003008991479873,0.0048143863677978,True,,,
