name,family,kind,formula,source_variables,target_derived,min_lag,availability_category,release_delay_quarters,leakage_risk,safe_at_h1,safe_at_h2,safe_at_h4,missing_value_rule,retained_after_audit,exclusion_reason,role,configuration_membership,A1_membership,A2_membership,A3_membership,A4_membership,B1_candidate_membership,B2_candidate_membership,B3_candidate_membership,B4_candidate_membership
GDP,raw_exogenous,raw,"GDP_t (raw level, £bn)",GDP,False,0,exogenous_with_publication_delay,1,low,True,True,True,none_observed,True,,both,"A1, A2, A3, A4",True,True,True,True,True,True,True,True
Population,raw_exogenous,raw,Population_t (raw level),Population,False,0,exogenous_and_observable,0,none,True,True,True,none_observed,True,,both,"A1, A2, A3, A4",True,True,True,True,True,True,True,True
Air_Temp,raw_exogenous,raw,"Air_Temp_t (quarterly mean, deg C)",Air_Temp,False,0,exogenous_and_observable,0,none,True,True,True,none_observed,True,,both,"A1, A2, A3, A4",True,True,True,True,True,True,True,True
Rainfall,raw_exogenous,raw,"Rainfall_t (quarterly total, mm)",Rainfall,False,0,exogenous_and_observable,0,none,True,True,True,none_observed,True,,both,"A1, A2, A3, A4",True,True,True,True,True,True,True,True
COVID_Deaths,raw_exogenous,raw,COVID_Deaths_t (quarterly count),COVID_Deaths,False,0,event_or_regime_indicator,0,none,True,True,True,none_observed,True,,both,"A1, A2, A3, A4",True,True,True,True,True,True,True,True
Mobility_Retail_Recreation,mobility_exogenous,raw,mean_d(retail_and_recreation_percent_change_from_baseline_d) for d in quarter t; 0.0 outside the reporting window,retail_and_recreation_percent_change_from_baseline,False,0,exogenous_and_observable,0,none,True,True,True,neutral_zero_outside_reporting_window,True,,both,"A1, A2, A3, A4",True,True,True,True,True,True,True,True
Mobility_Grocery_Pharmacy,mobility_exogenous,raw,mean_d(grocery_and_pharmacy_percent_change_from_baseline_d) for d in quarter t; 0.0 outside the reporting window,grocery_and_pharmacy_percent_change_from_baseline,False,0,exogenous_and_observable,0,none,True,True,True,neutral_zero_outside_reporting_window,True,,both,"A1, A2, A3, A4",True,True,True,True,True,True,True,True
Mobility_Parks,mobility_exogenous,raw,mean_d(parks_percent_change_from_baseline_d) for d in quarter t; 0.0 outside the reporting window,parks_percent_change_from_baseline,False,0,exogenous_and_observable,0,none,True,True,True,neutral_zero_outside_reporting_window,True,,both,"A1, A2, A3, A4",True,True,True,True,True,True,True,True
Mobility_Transit_Stations,mobility_exogenous,raw,mean_d(transit_stations_percent_change_from_baseline_d) for d in quarter t; 0.0 outside the reporting window,transit_stations_percent_change_from_baseline,False,0,exogenous_and_observable,0,none,True,True,True,neutral_zero_outside_reporting_window,True,,both,"A1, A2, A3, A4",True,True,True,True,True,True,True,True
Mobility_Workplaces,mobility_exogenous,raw,mean_d(workplaces_percent_change_from_baseline_d) for d in quarter t; 0.0 outside the reporting window,workplaces_percent_change_from_baseline,False,0,exogenous_and_observable,0,none,True,True,True,neutral_zero_outside_reporting_window,True,,both,"A1, A2, A3, A4",True,True,True,True,True,True,True,True
Mobility_Residential,mobility_exogenous,raw,mean_d(residential_percent_change_from_baseline_d) for d in quarter t; 0.0 outside the reporting window,residential_percent_change_from_baseline,False,0,exogenous_and_observable,0,none,True,True,True,neutral_zero_outside_reporting_window,True,,both,"A1, A2, A3, A4",True,True,True,True,True,True,True,True
CO2e_lag1,target_lag,engineered,CO2e_{t-1},CO2e,True,1,historical_target_derived,0,none,True,True,True,drop_leading_nan,True,,forecasting,"A2, A4",False,True,False,True,False,True,False,True
