row,n_candidates,nominal_count,failure_rate,mean_weighted_mase,median_weighted_mase,median_global_rank,rank_dispersion,mean_runtime_seconds
A1,30,30,0.0,0.8638470457184096,0.8800150122733905,19.0,15.510796089228865,16.575279784202575
A2,30,30,0.0,0.89268968272634,0.8695867879724084,21.0,13.476129288711228,10.395713408788046
A3,30,30,0.0,0.8060778197841957,0.7928942025469201,14.0,13.834394681028737,3.779570698738098
A4,30,30,0.0,0.8579871766104703,0.8827036924685109,22.0,12.873510505191376,7.967073925336202
B1,25,25,0.0,0.8741040688736592,0.8803982273796316,29.5,15.53248987632832,11.96754062652588
B2,25,25,0.0,0.9184163581386106,0.9065030631222744,25.5,12.970050972229146,11.753119258880615
B3,25,25,0.0,0.8225897286404807,0.8112297997001512,15.5,13.973784979978284,3.708519287109375
B4,25,25,0.0,0.8819526135161349,0.8859955990628565,34.5,10.301698889018258,8.915132761001587
fs_linear,20,20,0.0,0.8397924823169539,0.8519054333841214,14.5,10.027185270276222,9.253704357147218
fs_wrapper,20,20,0.0,0.789804459046553,0.7540632677576753,33.0,15.746604572273846,9.369253516197205
fs_xgboost_shap,20,20,0.0,0.8343661456897046,0.8363682102304593,16.0,13.275193754923853,13.279282772541046
fs_permutation_stability,20,20,0.0,1.0597258454692755,1.0410666416960128,30.0,8.820970684087087,3.366001069545746
fs_consensus,20,20,0.0,0.8476395289386197,0.8152138598091236,31.0,10.977249200050075,10.162148201465607
ridge,24,24,0.0,0.8696039404174184,0.8713675822492373,18.5,13.554859295703361,0.0058520833651224255
random_forest,24,24,0.0,0.8057413731038238,0.7451150121380641,7.0,12.948148340768476,1.4739189942677815
lightgbm,24,24,0.0,0.8453333176251986,0.8187231681212909,16.0,16.058054399929997,4.921102970838547
catboost,24,24,0.0,0.7674706685782201,0.6877420536405063,8.5,13.57136021855651,38.67064387599627
lstm,24,24,0.0,0.9876028563246084,1.0212054608947443,33.5,8.988207762834524,3.3255293468634286
