b_configuration,feature,fs_linear,fs_wrapper,fs_xgboost_shap,fs_permutation_stability,fs5_consensus,vote_count,selection_frequency
B1,GDP,1,1,1,0,1,3,0.75
B1,Population,1,1,1,0,1,3,0.75
B1,Air_Temp,1,1,1,0,1,3,0.75
B1,Rainfall,1,1,1,0,1,3,0.75
B1,Mobility_Parks,1,1,0,1,1,3,0.75
B1,Mobility_Transit_Stations,0,1,1,1,1,3,0.75
B1,COVID_Deaths,1,1,0,0,1,2,0.5
B1,Mobility_Grocery_Pharmacy,0,1,0,1,1,2,0.5
B1,Mobility_Workplaces,0,1,0,1,1,2,0.5
B1,Mobility_Residential,0,1,0,1,1,2,0.5
B1,Mobility_Retail_Recreation,0,1,0,0,0,1,0.25
B2,Mobility_Parks,1,1,0,1,1,3,0.75
B2,CO2e_lag2,1,1,1,0,1,3,0.75
B2,CO2e_lag4,1,1,1,0,1,3,0.75
B2,GDP,0,1,1,0,1,2,0.5
B2,Population,0,1,1,0,1,2,0.5
B2,Air_Temp,0,1,1,0,1,2,0.5
B2,Rainfall,1,1,0,0,1,2,0.5
B2,COVID_Deaths,1,1,0,0,1,2,0.5
B2,Mobility_Grocery_Pharmacy,1,0,0,1,1,2,0.5
B2,Mobility_Transit_Stations,0,1,0,1,1,2,0.5
B2,Mobility_Workplaces,0,1,0,1,1,2,0.5
B2,Mobility_Residential,0,1,0,1,1,2,0.5
B2,GDP_dlog,1,1,0,0,1,2,0.5
B2,HDD_proxy,1,1,0,0,1,2,0.5
B2,Q2,1,1,0,0,1,2,0.5
B2,Q4,1,1,0,0,1,2,0.5
B2,COVID,1,1,0,0,1,2,0.5
B2,Mobility_Retail_Recreation,0,1,0,0,0,1,0.25
B2,CO2e_lag1,0,1,0,0,0,1,0.25
B2,CO2e_dlog,0,1,0,0,0,1,0.25
B2,Q3,0,1,0,0,0,1,0.25
B2,CO2e_lag3,0,0,0,0,0,0,0.0
B2,CO2e_per_Population,0,0,0,0,0,0,0.0
B2,CDD_proxy,0,0,0,0,0,0,0.0
B2,EnergyCrisis,0,0,0,0,0,0,0.0
B3,GDP,1,1,1,0,1,3,0.75
B3,Population,1,1,1,0,1,3,0.75
B3,Air_Temp,1,1,1,0,1,3,0.75
B3,Rainfall,1,1,1,0,1,3,0.75
B3,Grid_CI_std,1,1,1,0,1,3,0.75
B3,Grid_CI_high_share,1,1,1,0,1,3,0.75
B3,Grid_gas_share,1,1,0,1,1,3,0.75
B3,Mobility_Parks,1,1,0,0,1,2,0.5
B3,Grid_fossil_share,0,1,0,1,1,2,0.5
B3,Grid_wind_share,0,1,0,1,1,2,0.5
B3,OWID_LowCarbonShare_L1Y,1,0,0,1,1,2,0.5
B3,COVID_Deaths,1,0,0,0,0,1,0.25
B3,Mobility_Retail_Recreation,0,1,0,0,0,1,0.25
B3,Mobility_Workplaces,0,1,0,0,0,1,0.25
B3,Grid_CI_mean,0,1,0,0,0,1,0.25
B3,Grid_CI_p90,0,1,0,0,0,1,0.25
B3,Grid_renewable_share,0,1,0,0,0,1,0.25
B3,Grid_low_carbon_share,1,0,0,0,0,1,0.25
B3,OWID_RenewableShare_L1Y,0,0,0,1,0,1,0.25
B3,Mobility_Grocery_Pharmacy,0,0,0,0,0,0,0.0
B3,Mobility_Transit_Stations,0,0,0,0,0,0,0.0
B3,Mobility_Residential,0,0,0,0,0,0,0.0
B3,Grid_CI_low_share,0,0,0,0,0,0,0.0
B4,GDP,0,1,1,0,1,2,0.5
B4,Population,0,1,1,0,1,2,0.5
B4,Mobility_Parks,1,1,0,0,1,2,0.5
B4,CO2e_lag2,0,1,1,0,1,2,0.5
B4,CO2e_lag4,0,1,1,0,1,2,0.5
B4,GDP_dlog,1,1,0,0,1,2,0.5
B4,Q2,1,1,0,0,1,2,0.5
B4,Q4,1,1,0,0,1,2,0.5
B4,Grid_CI_std,1,1,0,0,1,2,0.5
B4,Grid_CI_high_share,0,1,1,0,1,2,0.5
B4,Grid_CI_low_share,1,1,0,0,1,2,0.5
B4,Grid_fossil_share,0,1,0,1,1,2,0.5
B4,Grid_gas_share,0,1,0,1,1,2,0.5
B4,Grid_wind_share,0,1,0,1,1,2,0.5
B4,OWID_LowCarbonShare_L1Y,1,0,0,1,1,2,0.5
B4,Air_Temp,0,0,1,0,0,1,0.25
B4,Rainfall,0,1,0,0,0,1,0.25
B4,COVID_Deaths,0,1,0,0,0,1,0.25
B4,Mobility_Grocery_Pharmacy,1,0,0,0,0,1,0.25
B4,Mobility_Transit_Stations,0,1,0,0,0,1,0.25
B4,Mobility_Workplaces,1,0,0,0,0,1,0.25
B4,CO2e_dlog,1,0,0,0,0,1,0.25
B4,HDD_proxy,0,1,0,0,0,1,0.25
B4,CDD_proxy,1,0,0,0,0,1,0.25
B4,Q3,0,1,0,0,0,1,0.25
B4,COVID,1,0,0,0,0,1,0.25
B4,Grid_CI_p90,0,1,0,0,0,1,0.25
B4,Grid_renewable_share,0,1,0,0,0,1,0.25
B4,Grid_low_carbon_share,1,0,0,0,0,1,0.25
B4,OWID_RenewableShare_L1Y,0,0,0,1,0,1,0.25
B4,Mobility_Retail_Recreation,0,0,0,0,0,0,0.0
B4,Mobility_Residential,0,0,0,0,0,0,0.0
B4,CO2e_lag1,0,0,0,0,0,0,0.0
B4,CO2e_lag3,0,0,0,0,0,0,0.0
B4,CO2e_per_Population,0,0,0,0,0,0,0.0
B4,EnergyCrisis,0,0,0,0,0,0,0.0
B4,Grid_CI_mean,0,0,0,0,0,0,0.0
